Time Period,Reporter,Partner,Sector Group,Export Value,Import Value,Total Trade Volume
2026b,China,Indonesia,Sector_2,266.7,359.05,625.75
2026a,China,Indonesia,Sector_3,304.3,332.3,636.6
2026b,China,Indonesia,Sector_3,223.92,401.96,625.88
2026a,China,Indonesia,Sector_4,395.75,361.38,757.13
2026b,China,Indonesia,Sector_4,342.69,302.75,645.44
2026a,China,Indonesia,Sector_5,580.78,863.43,1444.21
2026b,China,Indonesia,Sector_5,586.92,643.24,1230.1599999999999
2026a,China,Indonesia,Sector_6,606.9,870.86,1477.76
2026b,China,Indonesia,Sector_6,449.65,1023.78,1473.4299999999998
2026a,China,Indonesia,Sector_7,843.98,786.8,1630.78
2026b,China,Indonesia,Sector_7,591.97,602.4,1194.37
2026a,China,Indonesia,Sector_8,555.14,460.85,1015.99
2026b,China,Indonesia,Sector_8,571.05,435.18,1006.23
2026a,China,"Korea, Rep.",Sector_1,310.21,281.03,591.24
2026b,China,"Korea, Rep.",Sector_1,262.01,218.24,480.25
2026a,China,"Korea, Rep.",Sector_2,728.85,526.98,1255.83
2026b,China,"Korea, Rep.",Sector_2,791.1,537.84,1328.94
2026a,China,"Korea, Rep.",Sector_3,432.84,901.76,1334.6
2026b,China,"Korea, Rep.",Sector_3,511.96,921.81,1433.77
2026a,China,"Korea, Rep.",Sector_4,241.35,288.71,530.06
2026b,China,"Korea, Rep.",Sector_4,199.01,204.04,403.04999999999995
2026a,China,"Korea, Rep.",Sector_5,648.13,465.42,1113.55
2026b,China,"Korea, Rep.",Sector_5,673.23,483.95,1157.18
2026a,China,"Korea, Rep.",Sector_6,654.89,654.6,1309.49
2026b,China,"Korea, Rep.",Sector_6,561.2,802.75,1363.95
2026a,China,"Korea, Rep.",Sector_7,615.86,458.52,1074.38
2026b,China,"Korea, Rep.",Sector_7,451.73,431.99,883.72
2026a,China,"Korea, Rep.",Sector_8,958.55,500.68,1459.23
2026b,China,"Korea, Rep.",Sector_8,1158.87,512.25,1671.12
2026a,China,Japan,Sector_1,520.14,283.4,803.54
2026b,China,Japan,Sector_1,438.44,323.5,761.94
2026a,China,Japan,Sector_2,339.17,331.68,670.85
2026b,China,Japan,Sector_2,400.02,287.54,687.56
2026a,China,Japan,Sector_3,659.26,219.08,878.34
2026b,China,Japan,Sector_3,651.29,245.51,896.8
2026a,China,Japan,Sector_4,462.27,222.51,684.78
2026b,China,Japan,Sector_4,538.71,231.53,770.24
2026a,China,Japan,Sector_5,788.4,977.39,1765.79
2026b,China,Japan,Sector_5,563.81,1128.4,1692.21
2026a,China,Japan,Sector_6,988.16,843.42,1831.58
2026b,China,Japan,Sector_6,1185.94,772.57,1958.5100000000002
2026a,China,Japan,Sector_7,222.24,800.44,1022.6800000000001
2026b,China,Japan,Sector_7,224.37,826.6,1050.97
2026a,China,Japan,Sector_8,919.78,208.99,1128.77
2026b,China,Japan,Sector_8,1169.24,232.85,1402.09
2026a,China,Thailand,Sector_1,538.7,691.54,1230.24
2026b,China,Thailand,Sector_1,483.0,787.81,1270.81
2026a,China,Thailand,Sector_2,322.63,617.07,939.7
2026b,China,Thailand,Sector_2,325.7,696.54,1022.24
2026a,China,Thailand,Sector_3,985.46,619.05,1604.51
2026b,China,Thailand,Sector_3,966.45,474.27,1440.72
2026a,China,Thailand,Sector_4,578.18,363.53,941.7099999999999
2026b,China,Thailand,Sector_4,539.35,265.15,804.5
2026a,China,Thailand,Sector_5,712.81,750.58,1463.3899999999999
2026b,China,Thailand,Sector_5,921.64,648.51,1570.15
2026a,China,Thailand,Sector_6,936.65,297.74,1234.3899999999999
2026b,China,Thailand,Sector_6,766.24,273.25,1039.49
2026a,China,Thailand,Sector_7,362.26,772.36,1134.62
2026b,China,Thailand,Sector_7,369.92,805.37,1175.29
2026a,China,Thailand,Sector_8,412.28,388.12,800.4
2026b,China,Thailand,Sector_8,367.45,432.81,800.26
2026a,China,Australia,Sector_1,703.27,424.52,1127.79
2026b,China,Australia,Sector_1,636.41,307.61,944.02
2026a,China,Australia,Sector_2,413.02,222.79,635.81
2026b,China,Australia,Sector_2,385.67,250.58,636.25
2026a,China,Australia,Sector_3,247.3,533.55,780.8499999999999
2026b,China,Australia,Sector_3,212.39,434.36,646.75
2026a,China,Australia,Sector_4,686.5,517.36,1203.8600000000001
2026b,China,Australia,Sector_4,726.47,522.1,1248.5700000000002
2026a,China,Australia,Sector_5,331.72,309.43,641.1500000000001
2026b,China,Australia,Sector_5,430.88,226.32,657.2
2026a,China,Australia,Sector_6,727.94,980.07,1708.0100000000002
2026b,China,Australia,Sector_6,685.48,825.25,1510.73
2026a,China,Australia,Sector_7,367.88,493.05,860.9300000000001
2026b,China,Australia,Sector_7,275.67,552.89,828.56
2026a,China,Australia,Sector_8,977.78,653.16,1630.94
2026b,China,Australia,Sector_8,1116.63,686.01,1802.64
2026a,China,Vietnam,Sector_1,439.99,504.03,944.02
2026b,China,Vietnam,Sector_1,361.94,444.71,806.65
2026a,China,Vietnam,Sector_2,819.69,963.79,1783.48
2026b,China,Vietnam,Sector_2,685.79,1111.24,1797.03
2026a,China,Vietnam,Sector_3,292.88,413.23,706.11
2026b,China,Vietnam,Sector_3,345.9,379.32,725.22
2026a,China,Vietnam,Sector_4,618.27,805.16,1423.4299999999998
2026b,China,Vietnam,Sector_4,675.41,675.01,1350.42
2026a,China,Vietnam,Sector_5,284.62,362.94,647.56
2026b,China,Vietnam,Sector_5,253.84,466.18,720.02
2026a,China,Vietnam,Sector_6,504.33,488.75,993.0799999999999
2026b,China,Vietnam,Sector_6,477.06,487.46,964.52
2026a,China,Vietnam,Sector_7,576.07,818.95,1395.02
2026b,China,Vietnam,Sector_7,471.91,659.44,1131.3500000000001
2026a,China,Vietnam,Sector_8,734.19,302.98,1037.17
2026b,China,Vietnam,Sector_8,699.18,288.94,988.1199999999999
2026a,China,India,Sector_1,343.97,894.25,1238.22
2026b,China,India,Sector_1,296.65,1034.77,1331.42
2026a,China,India,Sector_2,794.27,630.74,1425.01
2026b,China,India,Sector_2,952.87,465.81,1418.68
2026a,China,India,Sector_3,657.57,794.13,1451.7
2026b,China,India,Sector_3,667.72,712.21,1379.93
2026a,China,India,Sector_4,712.34,342.99,1055.33
2026b,China,India,Sector_4,659.35,338.69,998.04
2026a,China,India,Sector_5,867.17,347.99,1215.1599999999999
2026b,China,India,Sector_5,736.73,385.07,1121.8
2026a,China,India,Sector_6,349.71,617.92,967.6299999999999
2026b,China,India,Sector_6,351.02,589.34,940.36
2026a,China,India,Sector_7,550.3,248.81,799.1099999999999
2026b,China,India,Sector_7,413.94,268.31,682.25
2026a,China,India,Sector_8,550.71,442.33,993.04
2026b,China,India,Sector_8,657.35,518.28,1175.63
2026a,China,United Arab Emirates,Sector_1,275.85,259.43,535.28
2026b,China,United Arab Emirates,Sector_1,268.02,315.28,583.3
2026a,China,United Arab Emirates,Sector_2,592.5,775.97,1368.47
2026b,China,United Arab Emirates,Sector_2,611.89,588.3,1200.19
2026a,China,United Arab Emirates,Sector_3,869.84,965.23,1835.0700000000002
2026b,China,United Arab Emirates,Sector_3,838.07,1083.79,1921.8600000000001
2026a,China,United Arab Emirates,Sector_4,928.87,427.95,1356.82
2026b,China,United Arab Emirates,Sector_4,816.79,480.74,1297.53
2026a,China,United Arab Emirates,Sector_5,647.51,796.69,1444.2
2026b,China,United Arab Emirates,Sector_5,777.71,890.31,1668.02
2026a,China,United Arab Emirates,Sector_6,965.81,680.2,1646.01
2026b,China,United Arab Emirates,Sector_6,1237.57,635.83,1873.4
2026a,China,United Arab Emirates,Sector_7,598.46,911.22,1509.68
2026b,China,United Arab Emirates,Sector_7,572.08,853.21,1425.29
2026a,China,United Arab Emirates,Sector_8,950.21,273.92,1224.13
2026b,China,United Arab Emirates,Sector_8,1051.74,305.83,1357.57
2026a,China,Philippines,Sector_1,709.0,454.39,1163.3899999999999
2026b,China,Philippines,Sector_1,622.61,363.44,986.05
2026a,China,Philippines,Sector_2,802.64,530.15,1332.79
2026b,China,Philippines,Sector_2,987.02,671.98,1659.0
2026a,China,Philippines,Sector_3,813.97,472.54,1286.51
2026b,China,Philippines,Sector_3,650.36,556.79,1207.15
2026a,China,Philippines,Sector_4,887.84,874.47,1762.31
2026b,China,Philippines,Sector_4,748.81,957.93,1706.7399999999998
2026a,China,Philippines,Sector_5,845.92,825.44,1671.3600000000001
2026b,China,Philippines,Sector_5,814.06,882.44,1696.5
2026a,China,Philippines,Sector_6,311.75,533.7,845.45
2026b,China,Philippines,Sector_6,341.95,415.58,757.53
2026a,China,Philippines,Sector_7,518.92,559.4,1078.32
2026b,China,Philippines,Sector_7,609.78,531.8,1141.58
2026a,China,Philippines,Sector_8,886.88,923.42,1810.3
2026b,China,Philippines,Sector_8,747.97,889.41,1637.38
2026a,China,Germany,Sector_1,208.08,995.33,1203.41
2026b,China,Germany,Sector_1,165.3,702.3,867.5999999999999
2026a,China,Germany,Sector_2,930.11,292.53,1222.6399999999999
2026b,China,Germany,Sector_2,1028.36,357.67,1386.03
2026a,China,Germany,Sector_3,212.18,752.26,964.44
2026b,China,Germany,Sector_3,151.35,932.8,1084.1499999999999
2026a,China,Germany,Sector_4,739.02,231.72,970.74
2026b,China,Germany,Sector_4,795.7,241.17,1036.8700000000001
2026a,China,Germany,Sector_5,720.21,300.21,1020.4200000000001
2026b,China,Germany,Sector_5,585.33,362.7,948.03
2026a,China,Germany,Sector_6,406.68,613.01,1019.69
2026b,China,Germany,Sector_6,384.29,717.86,1102.15
2026a,China,Germany,Sector_7,213.31,541.87,755.1800000000001
2026b,China,Germany,Sector_7,212.66,584.34,797.0
2026a,China,Germany,Sector_8,968.75,652.63,1621.38
2026b,China,Germany,Sector_8,879.55,631.28,1510.83
2026a,China,France,Sector_1,230.65,325.08,555.73
2026b,China,France,Sector_1,195.62,348.92,544.54
2026a,China,France,Sector_2,697.8,835.06,1532.86
2026b,China,France,Sector_2,655.01,587.87,1242.88
2026a,China,France,Sector_3,568.01,797.45,1365.46
2026b,China,France,Sector_3,434.02,744.9,1178.92
2026a,China,France,Sector_4,250.65,954.18,1204.83
2026b,China,France,Sector_4,235.46,875.52,1110.98
2026a,China,France,Sector_5,704.1,672.3,1376.4
2026b,China,France,Sector_5,556.0,648.93,1204.9299999999998
2026a,China,France,Sector_6,838.66,759.2,1597.8600000000001
2026b,China,France,Sector_6,1089.13,792.54,1881.67
2026a,China,France,Sector_7,797.22,298.73,1095.95
2026b,China,France,Sector_7,837.66,374.69,1212.35
2026a,China,France,Sector_8,672.84,247.68,920.52
2026b,China,France,Sector_8,569.93,177.08,747.01
2026a,China,Switzerland,Sector_1,246.14,509.48,755.62
2026b,China,Switzerland,Sector_1,280.92,410.17,691.09
2026a,China,Switzerland,Sector_2,719.61,399.31,1118.92
2026b,China,Switzerland,Sector_2,824.06,425.43,1249.49
2026a,China,Switzerland,Sector_3,366.93,654.64,1021.5699999999999
2026b,China,Switzerland,Sector_3,367.21,550.03,917.24
2026a,China,Switzerland,Sector_4,814.94,933.74,1748.68
2026b,China,Switzerland,Sector_4,1023.12,670.02,1693.1399999999999
2026a,China,Switzerland,Sector_5,354.2,828.84,1183.04
2026b,China,Switzerland,Sector_5,442.69,816.67,1259.36
2026a,China,Switzerland,Sector_6,728.7,259.07,987.77
2026b,China,Switzerland,Sector_6,849.12,275.32,1124.44
2026a,China,Switzerland,Sector_7,557.68,448.1,1005.78
2026b,China,Switzerland,Sector_7,600.64,445.74,1046.38
2026a,China,Switzerland,Sector_8,832.22,291.34,1123.56
2026b,China,Switzerland,Sector_8,667.12,270.13,937.25
2026a,China,Netherlands,Sector_1,890.37,253.83,1144.2
2026b,China,Netherlands,Sector_1,637.97,262.11,900.08
2026a,China,Netherlands,Sector_2,481.71,784.68,1266.3899999999999
2026b,China,Netherlands,Sector_2,435.74,672.44,1108.18
2026a,China,Netherlands,Sector_3,220.02,412.59,632.61
2026b,China,Netherlands,Sector_3,237.22,430.02,667.24
2026a,China,Netherlands,Sector_4,700.39,563.56,1263.9499999999998
2026b,China,Netherlands,Sector_4,772.44,444.99,1217.43
2026a,China,Netherlands,Sector_5,666.1,210.5,876.6
2026b,China,Netherlands,Sector_5,524.14,240.47,764.61
2026a,China,Netherlands,Sector_6,993.39,253.43,1246.82
2026b,China,Netherlands,Sector_6,779.07,313.39,1092.46
2026a,China,Netherlands,Sector_7,480.98,583.99,1064.97
2026b,China,Netherlands,Sector_7,490.32,754.67,1244.99
2026a,China,Netherlands,Sector_8,383.91,523.74,907.6500000000001
2026b,China,Netherlands,Sector_8,497.04,432.41,929.45
2026a,Malaysia,United States,Sector_1,376.03,447.77,823.8
2026b,Malaysia,United States,Sector_1,266.79,381.21,648.0
2026a,Malaysia,United States,Sector_2,408.1,939.06,1347.1599999999999
2026b,Malaysia,United States,Sector_2,409.06,1081.98,1491.04
2026a,Malaysia,United States,Sector_3,226.31,370.74,597.05
2026b,Malaysia,United States,Sector_3,174.38,461.01,635.39
2026a,Malaysia,United States,Sector_4,829.19,973.13,1802.3200000000002
2026b,Malaysia,United States,Sector_4,825.59,807.19,1632.7800000000002
2026a,Malaysia,United States,Sector_5,287.76,929.39,1217.15
2026b,Malaysia,United States,Sector_5,344.25,1118.27,1462.52
2026a,Malaysia,United States,Sector_6,858.03,795.96,1653.99
2026b,Malaysia,United States,Sector_6,693.59,782.92,1476.51
2026a,Malaysia,United States,Sector_7,808.06,855.57,1663.63
2026b,Malaysia,United States,Sector_7,693.75,635.0,1328.75
2026a,Malaysia,United States,Sector_8,631.75,774.96,1406.71
2026b,Malaysia,United States,Sector_8,773.0,964.22,1737.22
2026a,Malaysia,"Hong Kong, China",Sector_1,929.45,681.24,1610.69
2026b,Malaysia,"Hong Kong, China",Sector_1,1184.06,570.61,1754.67
2026a,Malaysia,"Hong Kong, China",Sector_2,623.74,311.7,935.44
2026b,Malaysia,"Hong Kong, China",Sector_2,551.57,337.38,888.95
2026a,Malaysia,"Hong Kong, China",Sector_3,889.18,610.96,1500.1399999999999
2026b,Malaysia,"Hong Kong, China",Sector_3,824.47,491.68,1316.15
2026a,Malaysia,"Hong Kong, China",Sector_4,713.69,253.17,966.86
2026b,Malaysia,"Hong Kong, China",Sector_4,642.3,287.41,929.71
2026a,Malaysia,"Hong Kong, China",Sector_5,570.69,317.74,888.4300000000001
2026b,Malaysia,"Hong Kong, China",Sector_5,540.14,263.71,803.8499999999999
2026a,Malaysia,"Hong Kong, China",Sector_6,214.44,985.83,1200.27
2026b,Malaysia,"Hong Kong, China",Sector_6,246.96,1028.32,1275.28
2026a,Malaysia,"Hong Kong, China",Sector_7,616.28,978.58,1594.8600000000001
2026b,Malaysia,"Hong Kong, China",Sector_7,444.35,687.14,1131.49
2026a,Malaysia,"Hong Kong, China",Sector_8,345.74,736.21,1081.95
2026b,Malaysia,"Hong Kong, China",Sector_8,331.08,597.54,928.6199999999999
2026a,Malaysia,Indonesia,Sector_1,874.42,835.68,1710.1
2026b,Malaysia,Indonesia,Sector_1,1124.91,886.85,2011.7600000000002
2026a,Malaysia,Indonesia,Sector_2,255.12,319.8,574.9200000000001
2026b,Malaysia,Indonesia,Sector_2,217.33,359.66,576.99
2026a,Malaysia,Indonesia,Sector_3,435.72,884.99,1320.71
2026b,Malaysia,Indonesia,Sector_3,424.17,762.04,1186.21
2026a,Malaysia,Indonesia,Sector_4,601.96,251.37,853.33
2026b,Malaysia,Indonesia,Sector_4,747.4,206.42,953.8199999999999
2026a,Malaysia,Indonesia,Sector_5,640.03,650.17,1290.1999999999998
2026b,Malaysia,Indonesia,Sector_5,644.75,790.01,1434.76
2026a,Malaysia,Indonesia,Sector_6,382.81,804.16,1186.97
2026b,Malaysia,Indonesia,Sector_6,465.66,959.76,1425.42
2026a,Malaysia,Indonesia,Sector_7,390.95,554.37,945.3199999999999
2026b,Malaysia,Indonesia,Sector_7,437.57,498.24,935.81
2026a,Malaysia,Indonesia,Sector_8,893.69,986.12,1879.81
2026b,Malaysia,Indonesia,Sector_8,1012.64,1062.28,2074.92
2026a,Malaysia,"Korea, Rep.",Sector_1,550.07,766.16,1316.23
2026b,Malaysia,"Korea, Rep.",Sector_1,595.54,543.31,1138.85
2026a,Malaysia,"Korea, Rep.",Sector_2,477.31,537.64,1014.95
2026b,Malaysia,"Korea, Rep.",Sector_2,339.33,538.14,877.47
2026a,Malaysia,"Korea, Rep.",Sector_3,370.15,229.26,599.41
2026b,Malaysia,"Korea, Rep.",Sector_3,460.95,286.29,747.24
2026a,Malaysia,"Korea, Rep.",Sector_4,516.28,958.99,1475.27
2026b,Malaysia,"Korea, Rep.",Sector_4,388.83,997.18,1386.01
2026a,Malaysia,"Korea, Rep.",Sector_5,498.41,441.4,939.81
2026b,Malaysia,"Korea, Rep.",Sector_5,561.26,338.16,899.4200000000001
2026a,Malaysia,"Korea, Rep.",Sector_6,715.0,420.41,1135.41
2026b,Malaysia,"Korea, Rep.",Sector_6,835.19,344.24,1179.43
2026a,Malaysia,"Korea, Rep.",Sector_7,561.87,383.0,944.87
2026b,Malaysia,"Korea, Rep.",Sector_7,652.29,313.84,966.1299999999999
2026a,Malaysia,"Korea, Rep.",Sector_8,463.01,204.63,667.64
2026b,Malaysia,"Korea, Rep.",Sector_8,515.4,196.33,711.73
2026a,Malaysia,Japan,Sector_1,927.47,934.45,1861.92
2026b,Malaysia,Japan,Sector_1,1136.75,839.03,1975.78
2026a,Malaysia,Japan,Sector_2,856.64,877.79,1734.4299999999998
2026b,Malaysia,Japan,Sector_2,1008.63,1099.97,2108.6
2026a,Malaysia,Japan,Sector_3,551.82,674.67,1226.49
2026b,Malaysia,Japan,Sector_3,596.9,772.09,1368.99
2026a,Malaysia,Japan,Sector_4,435.54,621.79,1057.33
2026b,Malaysia,Japan,Sector_4,551.98,648.63,1200.6100000000001
2026a,Malaysia,Japan,Sector_5,806.44,220.85,1027.29
2026b,Malaysia,Japan,Sector_5,623.57,263.16,886.73
2026a,Malaysia,Japan,Sector_6,539.03,855.15,1394.1799999999998
2026b,Malaysia,Japan,Sector_6,609.6,842.6,1452.2
2026a,Malaysia,Japan,Sector_7,722.01,826.54,1548.55
2026b,Malaysia,Japan,Sector_7,703.45,814.56,1518.01
2026a,Malaysia,Japan,Sector_8,906.7,392.48,1299.18
2026b,Malaysia,Japan,Sector_8,1146.1,431.1,1577.1999999999998
2026a,Malaysia,Thailand,Sector_1,648.04,205.06,853.0999999999999
2026b,Malaysia,Thailand,Sector_1,517.46,190.75,708.21
2026a,Malaysia,Thailand,Sector_2,779.38,302.07,1081.45
2026b,Malaysia,Thailand,Sector_2,666.91,283.09,950.0
2026a,Malaysia,Thailand,Sector_3,414.37,329.8,744.1700000000001
2026b,Malaysia,Thailand,Sector_3,420.36,368.72,789.08
2026a,Malaysia,Thailand,Sector_4,607.48,564.43,1171.9099999999999
2026b,Malaysia,Thailand,Sector_4,486.31,523.77,1010.0799999999999
2026a,Malaysia,Thailand,Sector_5,715.21,246.83,962.0400000000001
2026b,Malaysia,Thailand,Sector_5,773.44,304.81,1078.25
2026a,Malaysia,Thailand,Sector_6,675.61,770.09,1445.7
2026b,Malaysia,Thailand,Sector_6,671.7,789.95,1461.65
2026a,Malaysia,Thailand,Sector_7,245.3,279.76,525.06
2026b,Malaysia,Thailand,Sector_7,234.72,285.16,519.88
2026a,Malaysia,Thailand,Sector_8,319.46,469.71,789.17
2026b,Malaysia,Thailand,Sector_8,317.91,570.99,888.9000000000001
2026a,Malaysia,Australia,Sector_1,617.9,769.76,1387.6599999999999
2026b,Malaysia,Australia,Sector_1,790.65,632.07,1422.72
2026a,Malaysia,Australia,Sector_2,660.07,364.8,1024.8700000000001
2026b,Malaysia,Australia,Sector_2,544.19,447.44,991.6300000000001
2026a,Malaysia,Australia,Sector_3,813.63,722.57,1536.2
2026b,Malaysia,Australia,Sector_3,710.54,895.11,1605.65
2026a,Malaysia,Australia,Sector_4,707.21,452.95,1160.16
2026b,Malaysia,Australia,Sector_4,748.62,571.36,1319.98
2026a,Malaysia,Australia,Sector_5,407.91,368.06,775.97
2026b,Malaysia,Australia,Sector_5,426.54,385.03,811.5699999999999
2026a,Malaysia,Australia,Sector_6,574.44,665.09,1239.5300000000002
2026b,Malaysia,Australia,Sector_6,475.53,746.19,1221.72
2026a,Malaysia,Australia,Sector_7,280.08,466.35,746.4300000000001
2026b,Malaysia,Australia,Sector_7,362.71,416.68,779.39
2026a,Malaysia,Australia,Sector_8,975.28,357.26,1332.54
2026b,Malaysia,Australia,Sector_8,1197.74,442.63,1640.37
2026a,Malaysia,Vietnam,Sector_1,972.21,526.87,1499.08
2026b,Malaysia,Vietnam,Sector_1,901.16,404.74,1305.9
2026a,Malaysia,Vietnam,Sector_2,567.82,763.4,1331.22
2026b,Malaysia,Vietnam,Sector_2,643.26,732.1,1375.3600000000001
2026a,Malaysia,Vietnam,Sector_3,447.7,517.62,965.3199999999999
2026b,Malaysia,Vietnam,Sector_3,314.6,438.56,753.1600000000001
2026a,Malaysia,Vietnam,Sector_4,516.13,758.22,1274.35
2026b,Malaysia,Vietnam,Sector_4,669.8,655.74,1325.54
2026a,Malaysia,Vietnam,Sector_5,541.63,441.0,982.63
2026b,Malaysia,Vietnam,Sector_5,470.25,487.94,958.19
2026a,Malaysia,Vietnam,Sector_6,420.76,872.6,1293.3600000000001
2026b,Malaysia,Vietnam,Sector_6,301.29,819.38,1120.67
2026a,Malaysia,Vietnam,Sector_7,997.85,645.15,1643.0
2026b,Malaysia,Vietnam,Sector_7,1178.24,527.21,1705.45
2026a,Malaysia,Vietnam,Sector_8,506.38,877.81,1384.19
2026b,Malaysia,Vietnam,Sector_8,591.57,842.16,1433.73
2026a,Malaysia,India,Sector_1,281.74,704.17,985.91
2026b,Malaysia,India,Sector_1,326.49,536.67,863.16
2026a,Malaysia,India,Sector_2,617.97,227.16,845.13
2026b,Malaysia,India,Sector_2,486.48,165.22,651.7
2026a,Malaysia,India,Sector_3,355.34,909.28,1264.62
2026b,Malaysia,India,Sector_3,449.64,695.61,1145.25
2026a,Malaysia,India,Sector_4,948.13,608.94,1557.0700000000002
2026b,Malaysia,India,Sector_4,677.06,702.72,1379.78
2026a,Malaysia,India,Sector_5,200.18,452.88,653.06
2026b,Malaysia,India,Sector_5,250.59,431.35,681.94
2026a,Malaysia,India,Sector_6,822.94,216.01,1038.95
2026b,Malaysia,India,Sector_6,806.74,263.06,1069.8
2026a,Malaysia,India,Sector_7,708.64,212.6,921.24
2026b,Malaysia,India,Sector_7,631.99,231.59,863.58
2026a,Malaysia,India,Sector_8,859.36,559.87,1419.23
2026b,Malaysia,India,Sector_8,1022.56,657.61,1680.17
2026a,Malaysia,United Arab Emirates,Sector_1,230.08,816.25,1046.33
2026b,Malaysia,United Arab Emirates,Sector_1,205.52,1015.66,1221.18
2026a,Malaysia,United Arab Emirates,Sector_2,659.37,691.35,1350.72
2026b,Malaysia,United Arab Emirates,Sector_2,796.35,846.2,1642.5500000000002
2026a,Malaysia,United Arab Emirates,Sector_3,406.21,413.0,819.21
2026b,Malaysia,United Arab Emirates,Sector_3,494.0,473.85,967.85
2026a,Malaysia,United Arab Emirates,Sector_4,735.85,341.72,1077.5700000000002
2026b,Malaysia,United Arab Emirates,Sector_4,573.11,370.1,943.21
2026a,Malaysia,United Arab Emirates,Sector_5,852.73,457.75,1310.48
2026b,Malaysia,United Arab Emirates,Sector_5,1081.19,370.69,1451.88
2026a,Malaysia,United Arab Emirates,Sector_6,791.29,931.45,1722.74
2026b,Malaysia,United Arab Emirates,Sector_6,844.33,828.48,1672.81
2026a,Malaysia,United Arab Emirates,Sector_7,373.68,472.56,846.24
2026b,Malaysia,United Arab Emirates,Sector_7,264.69,552.46,817.1500000000001
2026a,Malaysia,United Arab Emirates,Sector_8,682.16,388.54,1070.7
2026b,Malaysia,United Arab Emirates,Sector_8,555.88,391.48,947.36
2026a,Malaysia,Philippines,Sector_1,975.34,675.34,1650.68
2026b,Malaysia,Philippines,Sector_1,751.91,807.08,1558.99
2026a,Malaysia,Philippines,Sector_2,419.57,415.17,834.74
2026b,Malaysia,Philippines,Sector_2,373.72,397.05,770.77
2026a,Malaysia,Philippines,Sector_3,515.26,784.28,1299.54
2026b,Malaysia,Philippines,Sector_3,362.68,826.49,1189.17
2026a,Malaysia,Philippines,Sector_4,304.55,884.43,1188.98
2026b,Malaysia,Philippines,Sector_4,296.97,968.37,1265.3400000000001
