country_a,country_b,year,total_export_A_to_B,total_import_of_A_from_B,trade_volume,bec_1_export_A_to_B,bec_2_export_A_to_B,bec_3_export_A_to_B,bec_4_export_A_to_B,bec_5_export_A_to_B,bec_6_export_A_to_B,bec_7_export_A_to_B,bec_8_export_A_to_B,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B,scenario
AUS,PHL,2026,120582758.25186513,29463589.468941674,150046347.7208068,59799016.61369933,7375494.115906036,27837144.789990757,7138473.597712882,4616797.626860736,1778365.81571945,11421649.635159357,615816.0568165719,18324694.2239075,4609192.84330103,2815281.092960135,1180464.154466057,91615.4710090594,82358.21404041158,1183137.61581238,1176845.8534451046,forecast
AUS,SGP,2026,1077453210.152308,1415050659.1924102,2492503869.344718,42123748.41470806,770761669.749875,32228136.34548409,144272826.79146415,29560664.862933017,37399360.48949985,20244514.146354325,862289.3519895105,96801635.16278331,818532043.5156494,99330260.79167299,170211767.78814918,112537684.45550197,57089705.78002898,8991274.006408662,51556287.69221563,forecast
AUS,CHE,2026,90637836.68006888,208319445.82712135,298957282.5071902,9316892.698359558,5449213.135566113,10341365.245223986,33438884.802315213,887341.5186691959,419185.4982206175,30609388.595452756,175565.18626145198,809574.3947262896,2042593.850241212,12523294.960776953,133115163.57047218,3395506.8201765325,1560120.881797168,54853230.44635226,19960.902578754005,forecast
AUS,THA,2026,425060167.71229434,955382570.7528362,1380442738.4651306,88660681.73978539,72166096.81339459,48789065.14640051,13825749.298969101,177337505.57960218,16640312.555140113,7518193.479479351,122563.09952305708,55523691.844131246,229291597.83408552,151002878.22402418,18533541.686520834,471518692.7307654,4324926.026820654,24982765.561827134,204476.84466125246,forecast
AUS,ARE,2026,130318486.0821852,60511816.99898214,190830303.08116734,27184131.959406935,41005908.916293405,5304781.117783765,12906402.848845458,25764789.597528785,17633215.962312426,457115.3050149602,62140.37499946747,30905462.1421828,5499090.063401998,5404799.048172137,10475656.75342028,4835989.523234202,682265.9238739313,2457001.4759152313,251552.068781557,forecast
AUS,USA,2026,526511312.7254803,1651284072.7572763,2177795385.4827566,15991220.056727175,127831678.11357951,82819180.7274043,33737017.83740797,126863502.6286938,54522074.14728771,82759031.14484724,1987608.069532617,40108609.83588593,192532952.13800043,162538545.53945738,144989871.33615783,532588525.89093494,49975146.06013714,378743674.69817317,149806747.25852934,forecast
AUS,VNM,2026,650473250.9492795,271210583.6229331,921683834.5722127,79435766.45540203,261510847.3820123,45414165.76388273,123187971.98914571,15183051.005599672,107829756.79800217,17759592.719224263,152098.8360108346,61539248.07714066,80073768.07409006,31226737.95100891,36966410.809031606,22643900.975008518,23562344.26633883,6839777.647619617,8358395.822694895,forecast
CHN,AUS,2026,4196940202.393719,11352898084.295954,15549838286.689672,78110162.00753695,2850591220.9895144,761037877.9837476,52798629.75662598,30949697.509262048,343821473.7117273,37388666.34958195,42242474.08572321,453950203.0630984,7111211514.879061,2330039527.457187,242039791.41756603,616913.4473059956,867942938.7846117,344477292.5732098,2619902.6739164717,forecast
CHN,FRA,2026,2618349834.0086865,2228781889.76114,4847131723.769827,35920668.60114296,230479144.04242146,960292334.6877003,78053334.37401183,412043233.4273519,352408726.22994334,502154187.35261774,46998205.293497056,83636926.62645307,196901540.67357743,504860096.5160498,233998813.28540608,612908284.9558125,297861371.07222044,294963043.9564073,3651812.675212938,forecast
CHN,DEU,2026,7072308887.835039,3446215095.4450912,10518523983.28013,296985764.0869027,1077691919.288034,2392514127.2985096,674859451.5052338,78134671.45639445,1241415864.3943682,1293093930.034259,17613159.77133731,174694769.67909837,657683984.7999598,870295615.6412356,90850608.78978467,2523251.0969148693,883975711.4923483,517967577.9410035,248223576.00474662,forecast
CHN,HKG,2026,11739309586.692835,18267377601.622253,30006687188.315086,597095656.3985366,872421263.3867183,3484244159.680647,3521184105.6433187,1204002973.8445613,1003295156.1922255,1010188235.8513659,46878035.69546163,285333108.4704285,144001939.60122454,920413343.3337762,3569324720.866157,274134508.63774115,12008373969.066729,999995905.0151916,65800106.6310071,forecast
CHN,IND,2026,5079822604.381133,849455851.8331845,5929278456.214317,555043425.8352444,91865437.38337854,901070073.191181,193209240.1430165,739211167.9475062,2131937822.4431496,454366691.2282201,13118746.209437836,58314595.643250674,246897234.26911926,34098655.289721996,107228279.16876705,133581696.60647014,237863756.3662987,29570862.927813947,1900771.561742834,forecast
CHN,IDN,2026,3922179267.1501565,3067357849.8086104,6989537116.958767,283074669.09704167,2076335994.0397313,102369072.81171793,109648718.26972069,881439979.1101086,293845685.6758235,160319149.46197242,15145998.684039857,659761099.0847309,353197691.07847345,471480470.11561096,60400915.913711876,1130738030.8533907,298249496.0208778,83688505.04581824,9841641.695996644,forecast
CHN,JPN,2026,8302398502.7273445,5679977113.524445,13982375616.25179,641599403.5779427,1609475348.4128258,2767554467.0214777,132261595.58174604,187489958.2124954,2780576577.1018076,148929940.7886059,34511212.03044342,347569355.30299103,167049321.80561945,969756901.6647167,1186510359.7265227,1656641484.1488545,1159995503.333487,124272597.23578896,68181590.30646425,forecast
CHN,KOR,2026,7647055494.269257,7764619472.723926,15411674966.993183,51584186.88806039,2712545195.0995684,1368451131.3758996,693269886.6001538,1500728655.9407818,1180785165.9757223,42265545.77722109,97425726.6118498,214342902.5500218,3030816820.701438,2097462313.0452533,445929404.38128877,1293394712.8164754,645029962.8937205,35868201.02157871,1775155.3141501686,forecast
CHN,MYS,2026,3067868051.4237623,2031543516.5017838,5099411567.925547,461073136.0983193,989653223.2329013,320238274.1250623,147369979.90444618,555793514.4340086,430331960.4358465,151173811.84290692,12234151.35027144,160503684.1629465,99401214.3220285,427829895.15755975,101407821.5933025,66173295.33459845,1167675810.955747,6268003.511374954,2283791.464226264,forecast
CHN,NLD,2026,6202245959.428916,1255409452.8531907,7457655412.282106,181342387.61374715,439800115.05501235,40331509.673772275,230487031.65890074,589739641.5575299,4562760583.609798,41533166.320180535,116251523.93997516,57856501.62389972,254265723.75165278,349276005.1945903,91837100.07011683,70277898.2437116,191505114.74239585,229616920.51611543,10774188.710708125,forecast
CHN,PHL,2026,4296115405.167568,545704398.2964153,4841819803.463984,341490682.0277724,776248456.3442566,1283992620.3229194,158311427.00631946,258201570.55298853,1311812646.5968633,135377540.60148084,30680461.714968044,31355182.887123894,61090509.3548366,137953858.9786074,37311673.65873209,86799760.76964788,164190676.79336897,19232735.60061471,7770000.253483893,forecast
CHN,SGP,2026,2887779078.1873727,2902553666.336792,5790332744.524164,184977357.5742553,742450658.533693,794450078.5556217,503713666.86866254,16599612.893622214,372170155.7033902,98932598.5519653,174484949.50616243,78626311.22238663,258609120.5693365,626113120.038351,371985605.5257983,119739991.89685911,966499671.9536123,408077481.6483125,72902363.4821354,forecast
CHN,CHE,2026,332314456.6598508,1733519128.1699173,2065833584.8297682,447764.5489736877,7892900.21449087,6373660.323793708,276057599.2077043,771074.5460790559,3409048.205803957,34704469.17655095,2657940.436454314,52770737.087160595,19025156.70742119,31061544.555950522,576564505.5372179,116293602.06054114,226821538.70117742,707299584.058572,3682459.461876662,forecast
CHN,THA,2026,4228575461.242165,1058688013.608334,5287263474.850499,461510309.0352307,231020221.81655645,745393424.0381304,391440403.37038535,269529020.73263824,1753197488.0408597,262210184.58596984,114274409.6223944,28845.334004643493,19459456.654445298,13331724.718515886,52152421.76284442,197717157.2343349,705790055.0605097,64287983.38161397,5920369.462065155,forecast
CHN,ARE,2026,2604513003.766737,1517552092.8858128,4122065096.6525497,41655980.63941915,1331978444.4470062,352107666.2001352,236209166.596843,497808924.036968,52999482.94472146,74242109.13483928,17511229.76680486,36130905.16870637,158394328.07029596,434587904.9339665,153540470.01173714,205559856.7495362,473180514.48042434,51975338.299203455,4182775.1719428403,forecast
CHN,USA,2026,33281950564.68825,9043830707.135706,42325781271.82396,314149926.68264556,719986261.5638076,13378454036.49457,3230751903.279854,1737970557.865139,8419980352.7385025,4127582987.90588,1353074538.157856,276762018.5221,1574704010.8761036,3210737689.4934263,376692725.0877727,984671423.7353305,1451048158.1056554,1161448361.788767,7766319.52655097,forecast
CHN,VNM,2026,6349583977.787241,3598116839.6009464,9947700817.388187,271078322.6776581,251131930.41079903,2746574697.387652,156295668.06578058,108716058.6724108,2518650511.901889,1119956.7045419475,296016831.96650934,53993005.6256165,829379088.3290294,64047175.02516283,583508682.7152032,675323938.6365902,892426843.5677812,3291293.6381710093,496146812.0633919,forecast
FRA,AUS,2026,248169431.87805906,101196984.93354315,349366416.81160223,38269429.97986384,23125793.517494272,39756342.636241555,19760648.79881851,46993714.57226563,2774310.33299756,75872739.86167094,1616452.1787067489,1324389.9663631578,31669341.78191974,4164027.207541787,8511378.16415448,39135308.31877559,1263985.0460099292,14030268.730101112,1098285.7186773515,forecast
FRA,CHN,2026,1593337516.1731493,1927547183.7634523,3520884699.9366016,184351534.40764347,129136936.84299597,387414296.4525231,335956405.0285391,145898698.8984067,93813357.62948436,312237928.3315963,4528358.581960197,416164486.8985875,92049746.7956904,199603991.70415372,143044630.33221766,630382820.2352351,355339595.9747425,28236064.79241456,62725847.03041085,forecast
FRA,DEU,2026,3707341951.709459,7328733123.375548,11036075075.085007,543336274.3511055,948552148.3718444,348714787.18359137,329263787.1665807,455452564.77559704,567665343.2788392,434443638.58764225,79913407.99425846,165578050.12808245,561516439.427191,1081101758.3053362,333289208.13998723,3713251909.7346735,499981037.15660405,760781002.1021582,213233718.38151592,forecast
FRA,HKG,2026,433171019.0736578,205605289.64768624,638776308.721344,44672909.42412085,1254894.6156260245,3187624.2565422016,158305405.05998778,101867110.7972047,23748786.631711032,99589310.43295836,544977.855506823,3662856.4700499,1971549.5149239537,4312794.68307242,108673146.00565986,45062055.27058698,22540709.30746508,18716201.700744793,665976.6951832069,forecast
FRA,IND,2026,226171753.3789913,347631651.90533197,573803405.2843232,12266901.197212743,79422354.72538464,34458404.44453722,10994780.497560482,17595494.853812538,9502438.065420093,61704988.69438849,226390.90067512833,4306944.2217575805,23384032.955725808,108430682.93033668,28573265.161596145,89991168.32049917,5314993.433736572,85326854.76544815,2303710.116231877,forecast
FRA,IDN,2026,42567590.086609945,63713083.95414567,106280674.04075561,8001379.262135503,386409.58955158526,10798572.204179717,2373199.8429753054,7659535.202737869,6262583.830113954,6503960.327136375,581949.8277796343,4488296.267859428,2132948.84463943,18119420.205587413,1390393.3107081077,19334526.16557075,1789061.3774467146,15772117.074614208,686320.7077196239,forecast
FRA,JPN,2026,509604767.914927,340295988.61943066,849900756.5343577,39740666.76376164,88475594.4140273,11957370.30014238,72682948.96834223,161989020.310542,29960970.61930798,104775429.59783377,22766.940969716015,44529059.84590334,63912034.878760256,25181650.85788711,19211409.90228794,127227076.01203671,18039002.781781115,17419278.887892257,24776475.45288192,forecast
FRA,KOR,2026,422595527.58243895,323776201.2035271,746371728.785966,427903.414955369,66115670.68826775,61825816.652243756,20030800.58477459,192326511.6081439,41217598.84750934,39989331.34191794,661894.444626327,30233973.11633521,1665688.4906443455,25325058.860849228,20509218.968100253,170425971.0466143,14806941.207782427,60337160.76428317,472188.74891818664,forecast
FRA,MYS,2026,58971909.966235764,66895370.34115597,125867280.30739173,6635908.315315077,9289400.052246455,1295313.5016273316,2149666.3688518615,5358629.528429384,28457062.450808123,5677390.255100726,108539.49385680316,3093110.728620968,7043239.934623013,2134515.8263634136,8229078.289124493,39804330.132372156,2489456.8787557054,3950563.3154430636,151075.23585316757,forecast
FRA,NLD,2026,1125346651.7220693,5585927614.314163,6711274266.036232,345903071.0851438,65184914.63832806,123509307.15286629,58670691.190539055,238032462.18348172,61132256.04222718,204654785.668241,28259163.761242263,1320014146.7721672,1171828581.3938162,1094641025.819029,116552832.6365915,478487482.0395333,60598456.58749486,1184052166.882736,159752922.182796,forecast
FRA,PHL,2026,65744742.99527132,41381709.26968626,107126452.26495758,8909102.576051908,2691385.871725811,2859704.497052706,2471731.4762269324,23116833.505806994,8078955.193985333,17261480.94109835,355548.93332326907,9792021.691931857,1582669.897501251,2621773.0988049125,449894.0466053375,8173512.784858887,6832400.186385916,8816875.392672563,3112562.1709255325,forecast
FRA,SGP,2026,640051831.0828089,161157494.61162826,801209325.6944371,100800031.63504383,924634.2086715385,26956207.828719437,32854945.839859474,147399691.8166096,73222296.65300179,257238065.98222896,655957.1186741665,27710361.309106365,8717072.349460466,11144065.57448202,13257112.861532832,36211496.8819368,3720399.44682938,58918451.4571226,1478534.7311578118,forecast
FRA,CHE,2026,1477906370.3072023,1240715897.0457604,2718622267.3529625,149277755.80831096,45443831.916581824,213207247.36607257,318614153.5874946,300995341.6935962,29742173.307480767,418843821.0972664,1782045.5303988622,93300102.89044046,268575880.4833923,245989115.8194914,442981048.0806904,121806403.52972968,27590195.155682202,33004103.7298549,7469047.356479375,forecast
FRA,THA,2026,105957783.86059861,138729192.53274426,244686976.39334285,22440883.187137462,8475703.209130442,19074550.19063154,18488166.688376192,21981367.398397177,14313890.44829975,685067.4168085068,498155.32181754796,10022055.698144522,11066420.763452834,4069692.2624026965,19589010.686634637,60639411.475749046,9847464.710015949,23380568.571690522,114568.36465403963,forecast
FRA,ARE,2026,430264204.34554404,167045463.30190712,597309667.6474512,11784042.075807912,155896536.90396273,43905875.82642721,42775798.051318794,100643992.85581084,3450515.489935246,70966478.61555712,840964.5267241911,17531012.616057,5818367.772263279,13076332.411847688,34479279.77476715,50609594.720003575,2128753.8950702064,42579388.650722876,822733.4611753146,forecast
FRA,USA,2026,3088545794.1259637,2524080061.3606014,5612625855.486565,103341556.46630271,1171519112.9313576,227599701.0763686,65718363.45918714,528895303.03235763,186435790.39536196,795333536.2528116,9702430.512216568,179222426.09389007,892948515.3837703,116054351.47915183,183074566.16649014,237060579.30351105,98493399.37253608,111005144.48990066,706221079.0713513,forecast
FRA,VNM,2026,58573051.51086415,165460645.31715757,224033696.8280217,2452364.038927714,2321693.733541474,2516946.07690079,19305517.354843155,4442965.431658739,16252759.302943349,11211056.054630818,69749.51741811805,9570880.616642175,7906917.212640915,35329980.395024195,57338679.19473576,19614206.90170149,22991210.789211553,2537588.4425299945,10171181.76467147,forecast
DEU,AUS,2026,348951932.6096947,112275597.88720927,461227530.496904,51662758.07595726,39193846.189110816,5363965.487658061,20484244.15666784,170651207.17085314,30051549.700888854,4833125.336610104,26711236.491948668,14784445.038392054,6784412.834941003,16745521.927693,4822688.14181542,34636810.82460378,8325561.225237942,24373034.511697777,1803123.3828283027,forecast
DEU,CHN,2026,7065321448.939048,6933147326.214632,13998468775.153679,134218292.88125736,464806735.8431004,1986165621.8537502,263432401.89236975,1858774856.0285761,1882779068.4935133,467071872.63262033,8072599.313860764,160492666.92641076,962249129.1062418,2544769034.361966,551744266.8603361,1350698944.749333,863634442.4859625,434528987.4723308,65029854.25205011,forecast
DEU,FRA,2026,7179745500.87273,4710149536.435296,11889895037.308025,1008989841.6908326,1044635527.9222021,2663806528.3890033,140082373.95382908,1028281333.4871042,133083270.31903559,595413973.8405207,565452651.270203,218217724.98942572,1153701030.6511607,1877941187.1813118,229879199.5388245,1045534894.7477684,10870273.81333938,90091797.7095482,83913427.80391738,forecast
DEU,HKG,2026,546193838.723089,401992539.83354235,948186378.5566313,21198198.193218388,22740960.64558365,120488042.19577019,45410225.3311426,123548348.29728107,89427325.75035743,107297168.41552484,16083569.894210806,13515453.4557377,16720847.381307198,147647142.15265682,18316882.768931836,5014899.310924154,167324677.45616168,32498828.322172314,953808.9856506514,forecast
DEU,IND,2026,645292762.9638504,528986250.3010839,1174279013.2649343,47052664.65523732,224917426.0144435,105417738.39968672,105204263.46225747,14195199.852448422,37112824.23910055,66055954.76216699,45336691.57850933,20924312.327069677,178181456.02311912,124713875.28890917,75262931.44588605,82942227.15996219,10666541.5689486,33528263.999543313,2766642.4876458654,forecast
DEU,IDN,2026,233904165.91820237,200991671.425073,434895837.34327537,37459478.57164677,40574753.40764675,62460648.732011005,24709104.972372115,31591616.4439917,24936183.144150097,1019978.0785745848,11152402.567809317,3255057.287367612,42033671.933808245,67160293.46362455,25853704.094990987,21087888.965250317,25567436.724181823,8400204.525135595,7633414.430713829,forecast
DEU,JPN,2026,1131399267.5264742,766671496.3281859,1898070763.85466,59886730.59486572,127802393.05791943,372154474.604841,64264277.61618653,381831988.9372374,66023587.04634523,17089241.64221413,42346574.0268647,33576473.392584756,10509478.421597794,116780028.7354453,17714134.473331623,353450930.9276661,57237804.272313766,60476478.76831785,116926167.33692876,forecast
DEU,KOR,2026,1233694125.5543497,766471994.7773318,2000166120.3316815,40249249.60715829,5680858.331675169,69884645.45535977,49508679.24014936,903534325.7352165,131777030.69315648,5139198.214500793,27920138.27713317,23701685.618259862,62119914.91790412,116968112.52323444,12734278.896215124,429277203.1222203,50337408.94874399,70835174.71259318,498216.03816087014,forecast
DEU,MYS,2026,241698192.94729874,381217449.00901914,622915641.9563179,32739856.965788297,26318236.866324317,20969332.193851985,6368019.939961301,3240074.6555295484,127253248.83062302,16913350.999880344,7896072.495339932,6832077.948527742,57981386.60208685,81520720.67316419,6776628.736512709,87303605.10712607,99525390.82700866,40901772.7966867,375866.31790621224,forecast
DEU,NLD,2026,7936743718.924067,15634007224.285088,23570750943.209152,855500348.3176526,1364944277.4008763,1557413573.3758085,285273397.8396423,1674031682.6098087,509230983.2650193,595558527.0565579,1094790929.0587006,1185957082.3339283,3591349900.941673,3379339580.443308,464865412.8921765,2550058001.2991023,2241429413.530193,452797633.55315334,1768210199.2915506,forecast
DEU,PHL,2026,91211042.31183718,147836256.64872932,239047298.96056652,12612223.404061953,7767987.2616043715,25031631.436310858,1240289.7803607418,8749906.78362905,27921699.908310182,6175460.567929895,1711843.169630126,1024897.1881086865,2062677.2168451957,34878972.91293681,854456.3660610705,1038520.26088142,98988055.69192599,5120441.950888143,3868235.061082019,forecast
DEU,SGP,2026,634182899.5212013,470268799.28492355,1104451698.8061247,12804897.081710074,233677071.72022653,158829957.8178973,11234137.542098569,47326262.82813098,48833046.87799391,93941102.59566462,27536423.057479303,14897364.954220898,63590217.0345056,80155990.88301213,11346630.033348193,100010586.88814326,150954030.87239507,48198152.87795313,1115825.7413453204,forecast
DEU,CHE,2026,2804212953.8141856,3299743792.4789085,6103956746.293095,285969661.3568177,325951658.6857131,530896933.8512942,215689040.83189794,718846289.2238216,23158556.86569238,554193500.0317181,149507312.96723023,52608588.74490789,489032225.4425781,641098445.9585077,693134.4030208013,508163278.8381563,117782325.42429677,1481312787.337538,9053006.329902556,forecast
DEU,THA,2026,305797190.9890122,234050557.6371452,539847748.6261574,3517971.890500305,29317208.12581963,113551392.56302746,43513428.70933493,32145515.173237484,12003105.923417713,65357128.38923172,6391440.214442908,15617030.666224524,23666571.042997573,8209001.150684236,39314738.067171305,66145167.00129665,51252118.90592323,29632614.53008117,213316.27276648048,forecast
DEU,ARE,2026,410877698.41210437,227397461.52091828,638275159.9330226,20014444.466880966,841041.4807356438,124625397.6140137,12583055.51954099,130243638.43847074,22907687.619818043,89353676.13567781,10308757.136966478,4663296.102192517,26813692.305030446,16562611.56668419,13152675.160570616,87228165.03404085,6603833.0227590455,68368678.83819515,4004509.491445447,forecast
DEU,USA,2026,7231169923.514178,3895908514.463286,11127078437.977465,4502172.857520092,2013620012.4754615,2128718113.9353116,49068836.3962591,737152319.2108147,256557690.69427297,1740912403.1947525,300638374.7497854,381313767.2278332,307752671.70619136,289407262.80440474,176575395.39003855,1216037324.3744743,344973043.2485341,343777268.88689536,836071780.8249145,forecast
DEU,VNM,2026,239970088.61841586,531385306.5905036,771355395.2089194,3400265.9757184135,5769619.872593398,9368469.644937176,97678881.96448897,29286541.346072312,72857605.96400967,15322619.05940088,6286084.791195041,79728821.71847802,29289922.146183595,132434719.27505584,24237505.72422395,31477846.674247034,53264978.431261934,35897802.81470907,145053709.8063441,forecast
HKG,AUS,2026,190110563.9872648,391553407.57571846,581663971.5629833,1666862.3016366274,1202636.6127198264,2702110.615927836,137963498.59470728,1080959.5067516167,43677494.891648345,1492554.8895602827,324446.5743129776,44313801.98335306,2738617.9219810744,5973323.91483077,331001243.50018126,2618572.8433702406,3589858.413069252,1258877.538309386,59111.46062339783,forecast
HKG,CHN,2026,9930160032.647177,21113753885.059387,31043913917.706566,507209536.24750483,358272915.4214345,1086584223.3874204,1559215104.8362114,88079986.11565179,5974414157.446154,327758640.1571686,28625469.035631333,55961076.38718361,23939917.46555217,782135592.9061946,2059381848.657772,1324702673.9695973,15858111545.893133,772620219.655445,236901010.124509,forecast
HKG,FRA,2026,316855791.0301925,325907476.55533606,642763267.5855286,10810451.832745634,98365.46459655766,29499844.49904028,106999145.03469181,75872999.5762795,27937394.060076725,65445446.55200948,192144.01075249078,50943765.81968665,1790589.8093630644,68722.10568796065,4133865.691637351,158696509.2963798,35389213.8115704,74325465.07633129,559344.944679573,forecast
HKG,DEU,2026,250441468.31440648,315737545.3526964,566179013.6671029,23306964.984596055,8015361.237456309,12662752.555971751,21229921.070526823,27125422.308677893,58206074.789217815,98410476.23866801,1484495.1292918168,4530584.856846737,45318139.17165435,51684179.493352145,44480116.09277861,62677376.91065488,76493204.05575855,15670594.56475278,14883350.206898365,forecast
HKG,IND,2026,1191482914.852308,425781326.84509134,1617264241.6973994,1090267.9866784038,33497156.153306298,32797117.735894676,141621584.08946854,14707616.728055067,943433596.8297392,24255994.223801427,79581.10536455801,4789679.992084716,8973927.266225336,6970913.754177611,348315257.92895883,874946.3661222272,50307314.62993507,5429841.64107785,119445.26650967108,forecast
HKG,IDN,2026,199834212.50558555,212248255.82977554,412082468.3353611,20113502.075251076,40978544.19075271,3715865.3352922956,49179255.16772397,14044633.232583918,71239468.90835868,200789.41002740114,362154.1855954741,17407604.304099333,26818185.838470913,27738568.651559345,113248256.78582773,11777700.498307964,11408947.768221145,3514089.8852055324,334902.09808359476,forecast
HKG,JPN,2026,691009427.4989076,1607699806.439147,2298709233.9380546,35845121.080411226,25062577.531196475,160177642.9301783,199036172.67474,20928472.311890848,143948343.72728258,104839322.06575249,1171775.1774556832,23499228.845219914,15755587.26580537,88653182.80235544,123551761.62752755,97245278.4270403,468913182.4818691,79529602.6839042,710551982.3054253,forecast
HKG,KOR,2026,389722062.95852786,1257461611.841144,1647183674.799672,1611217.2268159667,10699490.79688712,53002932.29282036,29441266.108931262,57661277.89188365,223790413.65125194,12498828.445572075,1016636.5443655424,31313540.902684666,84214792.91237472,76977011.71011765,103613685.155109,70180968.45631121,856291451.6835448,34861659.82450714,8501.19649476243,forecast
HKG,MYS,2026,480648141.27348316,611155844.1317124,1091803985.4051957,2260987.5509243724,25720703.56403583,36219856.84106095,6991824.077562878,12826515.708374389,395349230.222408,1168374.9391683843,110648.36994831283,1261942.113049267,21850398.663587466,58101910.97092056,13282112.646918235,87209654.90566538,424706731.46178895,3862606.809359076,880486.5604234728,forecast
HKG,NLD,2026,816042793.4775468,175986044.4170204,992028837.8945673,931480.0001420687,375702.13998797646,48203738.32443154,26659490.276799615,5693.060226268458,629673262.788019,109934650.6962088,258776.19173155163,12989504.31730767,733493.5390797488,10427622.692324132,9118399.62770393,9615470.195508482,129193312.27814859,3531551.2901537744,376690.47679410805,forecast
HKG,PHL,2026,102949366.75610591,517428874.7695807,620378241.5256866,1958348.9809075627,998168.0346452184,13101763.07619689,25048583.69700191,4704736.893447363,50559808.77095828,6384207.476389035,193749.8265596412,8363474.184435024,4987376.150637263,56965307.792895176,32204161.056310274,7551017.279491338,384186341.0451325,6342627.8322687885,16828569.42841035,forecast
HKG,SGP,2026,558644291.6891171,928057158.729343,1486701450.4184601,8719966.806448676,36621338.079434335,6841244.866471172,58206296.94472208,33851383.798685014,384180314.88283026,28923111.090956397,1300635.219569102,54314874.249191344,12647515.039889842,5743053.365334687,364492308.40467477,141195997.46657836,918472.5829717877,114302049.05146468,234442888.56923762,forecast
