Year,Country,Exports,Imports,Export Share,Import Share,Trade Balance,Total Trade,IdealPointAll,Absolute_ideal_point_distance
2022,Uzbekistan,0.01,0.0,0.0,0.0,0.01,0.01,-0.7306381,0.43233589999999994
2022,San Marino,0.0,0.0,0.0,0.0,0.0,0.0,0.8856188,1.183921
2022,Palau,0.03,0.0,0.0,0.0,0.03,0.03,0.603138,0.9014401999999999
2022,Micronesia (Federated States of),0.01,0.0,0.0,0.0,0.01,0.01,1.541704,1.8400062
2022,Marshall Islands,7.28,0.0,1.05,0.0,7.28,7.28,1.135695,1.4339971999999999
2022,Mauritania,0.01,0.0,0.0,0.0,0.01,0.01,-0.731623,0.4333208
2022,Benin,0.01,0.0,0.0,0.0,0.01,0.01,-0.3160313,0.017729099999999998
2022,Togo,0.24,0.0,0.04,0.0,0.24,0.24,-0.2459036,0.05239860000000002
2022,Burundi,0.0,0.0,0.0,0.0,0.0,0.0,-0.5220969,0.22379469999999996
2022,Sierra Leone,0.03,0.0,0.0,0.0,0.03,0.03,-0.4328373,0.13453509999999996
2022,Niger,0.0,0.0,0.0,0.0,0.0,0.0,-0.5647126,0.2664104
2022,Burkina Faso,0.01,0.0,0.0,0.0,0.01,0.01,-0.4886208,0.1903186
2022,St. Kitts & Nevis,0.01,0.0,0.0,0.0,0.01,0.01,-0.4496085,0.1513063
2022,Mali,0.0,0.0,0.0,0.0,0.0,0.0,-0.9479915,0.6496892999999999
2022,Belize,0.01,0.0,0.0,0.0,0.01,0.01,-0.3936649,0.09536269999999997
2022,Democratic Republic of the Congo,0.03,0.0,0.0,0.0,0.03,0.03,-0.3482549,0.04995269999999996
2022,Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,-0.2941684,0.004133800000000021
2022,Guinea,0.02,0.0,0.0,0.0,0.01,0.02,-0.353083,0.05478079999999996
2022,St. Lucia,0.0,0.0,0.0,0.0,0.0,0.0,-0.433004,0.13470179999999998
2022,Guyana,0.12,0.0,0.02,0.0,0.12,0.12,-0.1767443,0.12155790000000002
2022,Maldives,0.3,0.0,0.04,0.0,0.3,0.3,-0.2750073,0.023294900000000007
2022,Seychelles,0.03,0.0,0.0,0.0,0.03,0.03,0.02714277,0.32544497
2022,Mongolia,0.14,0.0,0.02,0.0,0.14,0.14,-0.5353144,0.23701219999999995
2022,Nauru,0.0,0.0,0.0,0.0,-0.0,0.0,0.3503061,0.6486083
2022,Haiti,0.01,0.0,0.0,0.0,0.0,0.01,-0.1504928,0.1478094
2022,Bolivia,0.01,0.0,0.0,0.0,0.01,0.01,-1.087399,0.7890968
2022,Azerbaijan,0.03,0.0,0.0,0.0,0.03,0.03,-0.6355016,0.3371994
2022,Barbados,0.05,0.0,0.01,0.0,0.04,0.05,-0.2183924,0.07990980000000003
2022,Senegal,0.06,0.0,0.01,0.0,0.05,0.06,-0.513808,0.21550580000000003
2022,Jamaica,0.01,0.0,0.0,0.0,0.01,0.01,-0.3533419,0.05503969999999997
2022,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.8625897,1.1608919
2022,Liberia,7.45,0.0,1.08,0.0,7.45,7.45,1.17004,1.4683422
2022,Malawi,0.0,0.0,0.0,0.0,-0.0,0.0,0.1607571,0.45905930000000006
2022,Suriname,0.0,0.0,0.0,0.0,0.0,0.0,-0.153168,0.14513420000000002
2022,Montenegro,0.0,0.0,0.0,0.0,0.0,0.0,1.095899,1.3942012
2022,Eswatini,0.0,0.0,0.0,0.0,-0.0,0.0,-0.3064664,0.00816420000000001
2022,Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.04029447,0.33859667000000004
2022,North Macedonia,0.01,0.0,0.0,0.0,0.01,0.01,1.092182,1.3904842
2022,Lesotho,0.0,0.0,0.0,0.0,-0.0,0.0,-0.376627,0.07832479999999997
2022,Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,-0.0844532,0.213849
2022,Albania,0.0,0.0,0.0,0.0,0.0,0.0,1.257192,1.5554942
2022,Panama,8.32,0.0,1.21,0.0,8.32,8.32,0.07805697,0.37635917
2022,Moldova,0.01,0.0,0.0,0.0,0.0,0.01,0.8788923,1.1771945
2022,Lebanon,0.02,0.0,0.0,0.0,0.02,0.02,-0.8740157,0.5757135
2022,Yemen,0.01,0.0,0.0,0.0,0.01,0.01,-0.5852634,0.28696119999999997
2022,Nicaragua,0.01,0.0,0.0,0.0,0.0,0.01,-1.718362,1.4200598
2022,Fiji,0.7,0.0,0.1,0.0,0.69,0.7,-0.1300598,0.16824240000000001
2022,Iran,0.01,0.0,0.0,0.0,0.01,0.01,-1.92651,1.6282078
2022,Uganda,0.01,0.01,0.0,0.0,0.01,0.02,-0.6992473,0.4009451
2022,Paraguay,0.01,0.01,0.0,0.0,0.0,0.02,-0.1767455,0.12155670000000002
2022,Bhutan,0.02,0.01,0.0,0.0,0.02,0.03,-0.3396862,0.041383999999999976
2022,Georgia,0.01,0.01,0.0,0.0,0.01,0.02,0.9620553,1.2603575
2022,Honduras,0.01,0.01,0.0,0.0,0.01,0.02,-0.03355959,0.26474261
2022,Comoros,0.01,0.01,0.0,0.0,-0.0,0.02,-0.7889858,0.49068359999999994
2022,Djibouti,0.07,0.01,0.01,0.0,0.06,0.08,-0.6854015,0.3870993
2022,Cuba,0.0,0.01,0.0,0.0,-0.01,0.01,-1.433393,1.1350908
2022,Iceland,0.0,0.01,0.0,0.0,-0.01,0.01,1.062468,1.3607702
2022,Zimbabwe,0.0,0.01,0.0,0.0,-0.01,0.01,-1.220469,0.9221668000000001
2022,Bahamas,1.43,0.01,0.21,0.0,1.41,1.44,-0.1974629,0.10083930000000002
2022,Kenya,0.19,0.02,0.03,0.0,0.17,0.21,-0.4589186,0.1606164
2022,Belarus,0.0,0.02,0.0,0.0,-0.02,0.02,-0.8051301,0.5068279
2022,Guatemala,0.06,0.02,0.01,0.0,0.04,0.08,0.2058434,0.5041456
2022,Tanzania,0.12,0.02,0.02,0.0,0.1,0.13999999999999999,-0.5337708,0.23546859999999997
2022,Mauritius,0.11,0.02,0.02,0.0,0.09,0.13,-0.5442638,0.24596159999999995
2022,El Salvador,0.02,0.03,0.0,0.0,-0.0,0.05,-0.3860546,0.08775240000000001
2022,Nepal,0.2,0.03,0.03,0.01,0.17,0.23,-0.5124003,0.2140981
2022,Gabon,0.05,0.04,0.01,0.01,0.01,0.09,-0.6106205,0.3123183
2022,Latvia,0.09,0.04,0.01,0.01,0.04,0.13,1.261005,1.5593072
2022,Zambia,0.01,0.05,0.0,0.01,-0.04,0.060000000000000005,-0.511522,0.21321980000000001
2022,Ecuador,0.09,0.05,0.01,0.01,0.03,0.14,-0.1106761,0.18762610000000002
2022,Bulgaria,0.19,0.06,0.03,0.01,0.13,0.25,1.252246,1.5505482
2022,Peru,0.11,0.06,0.02,0.01,0.05,0.16999999999999998,-0.1551061,0.14319610000000002
2022,Cyprus,0.73,0.07,0.11,0.01,0.66,0.8,0.788314,1.0866162
2022,Croatia,0.04,0.07,0.01,0.01,-0.03,0.11000000000000001,1.350856,1.6491582
2022,Jordan,0.11,0.07,0.02,0.01,0.04,0.18,-0.5801966,0.28189439999999993
2022,Dominican Republic,0.03,0.08,0.0,0.01,-0.05,0.11,-0.006608358,0.29169384200000004
2022,Mozambique,0.5,0.08,0.07,0.01,0.42,0.58,-0.5626607,0.2643585
2022,Cameroon,0.05,0.08,0.01,0.01,-0.03,0.13,-0.1953132,0.10298900000000002
2022,Myanmar,5.6,0.08,0.81,0.01,5.52,5.68,-0.1591361,0.13916610000000001
2022,Ukraine,0.01,0.08,0.0,0.01,-0.07,0.09,1.306723,1.6050252
2022,Slovenia,0.08,0.08,0.01,0.01,-0.0,0.16,1.072519,1.3708212
2022,Trinidad & Tobago,0.04,0.08,0.01,0.01,-0.05,0.12,-0.5063161,0.20801390000000003
2022,Namibia,0.03,0.09,0.0,0.01,-0.06,0.12,-0.5759844,0.27768219999999993
2022,South Sudan,0.0,0.09,0.0,0.01,-0.09,0.09,0.1867978,0.48510000000000003
2022,Equatorial Guinea,0.01,0.09,0.0,0.01,-0.08,0.09999999999999999,-0.6040624,0.3057602
2022,Pakistan,1.71,0.09,0.25,0.01,1.62,1.8,-0.5101223,0.2118201
2022,Ghana,0.08,0.1,0.01,0.02,-0.02,0.18,-0.4500519,0.1517497
2022,Slovakia,0.07,0.1,0.01,0.02,-0.03,0.17,1.348546,1.6468482
2022,Madagascar,0.09,0.11,0.01,0.02,-0.02,0.2,-0.4655234,0.16722119999999996
2022,Argentina,0.29,0.12,0.04,0.02,0.17,0.41,-0.02967439,0.26862781
2022,Tunisia,0.06,0.13,0.01,0.02,-0.07,0.19,-0.6963688,0.3980666
2022,Estonia,0.04,0.14,0.01,0.02,-0.1,0.18000000000000002,1.331353,1.6296552
2022,Sri Lanka,1.39,0.14,0.2,0.02,1.25,1.5299999999999998,-0.8591889,0.5608867
2022,Republic of the Congo,0.03,0.16,0.0,0.03,-0.13,0.19,-0.4767289,0.1784267
2022,Laos,0.13,0.18,0.02,0.03,-0.05,0.31,-0.761961,0.4636588
2022,Uruguay,0.02,0.19,0.0,0.03,-0.17,0.21,0.06499057,0.36329277000000004
2022,Luxembourg,0.35,0.2,0.05,0.03,0.15,0.55,1.102924,1.4012262
2022,Turkmenistan,0.0,0.21,0.0,0.03,-0.21,0.21,-0.7425751,0.4442729
2022,Morocco,0.44,0.23,0.06,0.04,0.21,0.67,-0.4700761,0.17177389999999998
2022,Egypt,0.5,0.23,0.07,0.04,0.27,0.73,-0.917326,0.6190237999999999
2022,Cambodia,10.48,0.24,1.52,0.04,10.24,10.72,-0.5705053,0.2722031
2022,Chile,0.22,0.26,0.03,0.04,-0.04,0.48,0.03750027,0.33580247
2022,Bangladesh,6.46,0.26,0.94,0.04,6.21,6.72,-0.6442566,0.34595439999999994
2022,Papua New Guinea,1.16,0.27,0.17,0.04,0.89,1.43,0.1143358,0.412638
2022,Sudan,0.01,0.28,0.0,0.04,-0.28,0.29000000000000004,-0.7184352,0.42013300000000003
2022,Colombia,0.18,0.3,0.03,0.05,-0.13,0.48,-0.02593007,0.27237213000000005
2022,Costa Rica,0.28,0.32,0.04,0.05,-0.04,0.6000000000000001,-0.05178316,0.24651904000000002
2022,Kazakhstan,0.08,0.32,0.01,0.05,-0.23,0.4,-0.778407,0.48010479999999994
2022,Romania,0.23,0.32,0.03,0.05,-0.09,0.55,1.257668,1.5559702
2022,Lithuania,0.03,0.35,0.0,0.06,-0.32,0.38,1.367512,1.6658142
2022,Nigeria,0.55,0.38,0.08,0.06,0.17,0.93,-0.7103927,0.41209049999999997
2022,Botswana,0.01,0.42,0.0,0.07,-0.41,0.43,-0.2720189,0.02628330000000001
2022,Malta,2.6,0.42,0.38,0.07,2.18,3.02,0.7888985,1.0872007
2022,Hungary,0.75,0.47,0.11,0.07,0.28,1.22,1.501685,1.7999872
2022,Portugal,1.14,0.48,0.17,0.08,0.66,1.6199999999999999,1.108892,1.4071942
2022,Libya,0.02,0.5,0.0,0.08,-0.48,0.52,-0.8142235,0.5159213
2022,Angola,0.08,0.58,0.01,0.09,-0.5,0.6599999999999999,-0.581859,0.2835568
2022,Norway,1.79,0.59,0.26,0.09,1.21,2.38,1.054761,1.3530632
2022,Kuwait,0.34,0.59,0.05,0.09,-0.25,0.9299999999999999,-0.5461069,0.24780469999999993
2022,Finland,0.55,0.71,0.08,0.11,-0.16,1.26,1.142345,1.4406472
2022,Oman,0.6,0.73,0.09,0.11,-0.14,1.33,-0.9168357,0.6185335000000001
2022,Poland,0.63,0.78,0.09,0.12,-0.15,1.4100000000000001,1.276503,1.5748052
2022,Turkey,1.27,0.81,0.18,0.13,0.46,2.08,0.5776464,0.8759486000000001
2022,Denmark,0.45,0.83,0.07,0.13,-0.38,1.28,1.261866,1.5601682
2022,Bahrain,0.43,0.85,0.06,0.13,-0.42,1.28,-0.7603483,0.46204609999999996
2022,Czech Republic,0.55,0.9,0.08,0.14,-0.35,1.4500000000000002,1.481582,1.7798842
2022,Greece,1.6,0.95,0.23,0.15,0.65,2.55,1.045483,1.3437852
2022,South Africa,1.59,1.12,0.23,0.18,0.47,2.71,-0.4472817,0.1489795
2022,New Zealand,5.64,1.15,0.82,0.18,4.49,6.789999999999999,0.8261057,1.1244079
2022,Austria,0.49,1.21,0.07,0.19,-0.73,1.7,1.02798,1.3262821999999999
2022,Israel,1.33,1.31,0.19,0.21,0.02,2.64,2.279283,2.5775852
2022,Algeria,0.04,1.32,0.01,0.21,-1.28,1.36,-1.04514,0.7468378
2022,Ireland,1.03,1.44,0.15,0.23,-0.41,2.4699999999999998,0.8493217,1.1476239
2022,Iraq,0.1,1.67,0.01,0.26,-1.57,1.77,-0.8784188,0.5801166
2022,Belgium,8.28,1.95,1.2,0.31,6.33,10.229999999999999,1.150865,1.4491672
2022,Sweden,0.22,2.0,0.03,0.31,-1.78,2.22,1.177396,1.4756982
2022,Spain,0.57,2.6,0.08,0.41,-2.03,3.17,1.062369,1.3606711999999999
2022,Brunei,1.09,2.63,0.16,0.41,-1.54,3.7199999999999998,-0.7151171,0.41681489999999993
2022,Canada,1.39,2.99,0.2,0.47,-1.6,4.38,1.532407,1.8307092
2022,Mexico,2.94,3.06,0.43,0.48,-0.13,6.0,0.03709623,0.33539843
2022,Russia,0.24,3.07,0.04,0.48,-2.83,3.3099999999999996,-0.5057471,0.2074449
2022,Netherlands,14.9,3.87,2.16,0.61,11.03,18.77,1.281563,1.5798652
2022,Italy,1.45,6.8,0.21,1.07,-5.35,8.25,1.24587,1.5441722
2022,Qatar,1.12,6.84,0.16,1.07,-5.72,7.96,-0.5365499,0.2382477
2022,Vietnam,23.07,7.36,3.34,1.16,15.7,30.43,-0.7389047,0.44060249999999995
2022,Brazil,2.7,10.13,0.39,1.59,-7.43,12.830000000000002,0.2069787,0.5052809
2022,United Kingdom,4.98,10.61,0.72,1.67,-5.63,15.59,1.869645,2.1679472
2022,Philippines,14.56,11.19,2.11,1.76,3.37,25.75,-0.340067,0.04176479999999999
2022,India,18.62,11.34,2.7,1.78,7.29,29.96,-0.2949588,0.0033433999999999964
2022,Australia,22.23,11.46,3.22,1.8,10.77,33.69,1.38725,1.6855522
2022,Saudi Arabia,1.51,12.19,0.22,1.91,-10.67,13.7,-0.7059029,0.4076007
2022,Germany,10.85,13.35,1.57,2.1,-2.49,24.2,1.397135,1.6954372
2022,Switzerland,4.18,15.06,0.61,2.36,-10.88,19.240000000000002,0.81423,1.1125322
2022,France,5.46,17.21,0.79,2.7,-11.75,22.67,1.483112,1.7814142
2022,Thailand,23.44,17.5,3.4,2.75,5.94,40.94,-0.3372428,0.03894059999999999
2022,United Arab Emirates,7.96,21.04,1.15,3.3,-13.08,29.0,-0.7463317,0.4480295
2022,Indonesia,49.89,24.33,7.23,3.82,25.56,74.22,-0.8884776,0.5901753999999999
2022,Japan,27.86,35.8,4.04,5.62,-7.94,63.66,0.8421966,1.1404988
2022,South Korea,27.92,41.04,4.05,6.44,-13.11,68.96000000000001,0.9855768,1.283879
2022,United States,60.71,69.11,8.8,10.85,-8.4,129.82,2.509641,2.8079432
2022,Malaysia,69.12,79.6,10.02,12.5,-10.48,148.72,-0.6211593,0.32285709999999995
2022,China,85.72,84.4,12.42,13.25,1.32,170.12,-1.092473,0.7941708000000001
