country,trade_type,sector,partner_country,volume,previous_volume
Germany,export,Automotive,USA,2133,2239
Germany,export,Automotive,France,566,526
Germany,export,Automotive,Japan,944,1046
Germany,export,Automotive,China,2183,2278
Germany,export,Automotive,UK,3738,4057
Germany,export,Automotive,India,879,972
Germany,export,Automotive,Canada,2382,2299
Germany,export,Automotive,Brazil,626,630
Germany,export,Automotive,Australia,1344,1312
Germany,export,Automotive,South Korea,1789,1984
Germany,export,Automotive,Mexico,1855,1979
Germany,export,Automotive,Italy,659,605
Germany,export,Automotive,Russia,4168,4322
Germany,export,Automotive,Spain,3585,3362
Germany,export,Automotive,Netherlands,1267,1265
Germany,export,Automotive,Turkey,3581,3491
Germany,export,Automotive,Indonesia,4955,5248
Germany,export,Automotive,Saudi Arabia,3024,3000
Germany,export,Automotive,South Africa,3389,3253
Germany,export,Agriculture,USA,4960,5182
Germany,export,Agriculture,France,1446,1499
Germany,export,Agriculture,Japan,3043,2822
Germany,export,Agriculture,China,3071,2980
Germany,export,Agriculture,UK,2706,2611
Germany,export,Agriculture,India,4221,4448
Germany,export,Agriculture,Canada,3509,3279
Germany,export,Agriculture,Brazil,3270,3627
Germany,export,Agriculture,Australia,4822,4476
Germany,export,Agriculture,South Korea,2449,2280
Germany,export,Agriculture,Mexico,1863,1883
Germany,export,Agriculture,Italy,2147,2051
Germany,export,Agriculture,Russia,3138,2920
Germany,export,Agriculture,Spain,2261,2381
Germany,export,Agriculture,Netherlands,4117,4149
Germany,export,Agriculture,Turkey,3257,3494
Germany,export,Agriculture,Indonesia,3731,3893
Germany,export,Agriculture,Saudi Arabia,3070,3031
Germany,export,Agriculture,South Africa,2584,2793
Germany,export,Textiles,USA,3123,2869
Germany,export,Textiles,France,2742,2935
Germany,export,Textiles,Japan,2474,2495
Germany,export,Textiles,China,4078,3738
Germany,export,Textiles,UK,4338,4405
Germany,export,Textiles,India,3166,3024
Germany,export,Textiles,Canada,1435,1426
Germany,export,Textiles,Brazil,3169,2958
Germany,export,Textiles,Australia,4281,4403
Germany,export,Textiles,South Korea,1455,1523
Germany,export,Textiles,Mexico,2750,2842
Germany,export,Textiles,Italy,4960,5275
Germany,export,Textiles,Russia,4081,4037
Germany,export,Textiles,Spain,534,573
Germany,export,Textiles,Netherlands,2325,2322
Germany,export,Textiles,Turkey,4011,3735
Germany,export,Textiles,Indonesia,2970,3182
Germany,export,Textiles,Saudi Arabia,719,661
Germany,export,Textiles,South Africa,3023,2814
Germany,export,Pharmaceuticals,USA,934,922
Germany,export,Pharmaceuticals,France,593,615
Germany,export,Pharmaceuticals,Japan,3536,3761
Germany,export,Pharmaceuticals,China,1204,1303
Germany,export,Pharmaceuticals,UK,4719,4337
Germany,export,Pharmaceuticals,India,2778,2607
Germany,export,Pharmaceuticals,Canada,3361,3174
Germany,export,Pharmaceuticals,Brazil,4073,4259
Germany,export,Pharmaceuticals,Australia,1622,1712
Germany,export,Pharmaceuticals,South Korea,3350,3409
Germany,export,Pharmaceuticals,Mexico,3136,3340
Germany,export,Pharmaceuticals,Italy,3522,3333
Germany,export,Pharmaceuticals,Russia,618,584
Germany,export,Pharmaceuticals,Spain,1299,1266
Germany,export,Pharmaceuticals,Netherlands,4857,4452
Germany,export,Pharmaceuticals,Turkey,2546,2671
Germany,export,Pharmaceuticals,Indonesia,883,831
Germany,export,Pharmaceuticals,Saudi Arabia,3612,3480
Germany,export,Pharmaceuticals,South Africa,3648,3857
Germany,export,Metals,USA,3599,3647
Germany,export,Metals,France,916,875
Germany,export,Metals,Japan,4198,3864
Germany,export,Metals,China,1749,1740
Germany,export,Metals,UK,4449,4456
Germany,export,Metals,India,2943,2754
Germany,export,Metals,Canada,1324,1333
Germany,export,Metals,Brazil,4217,4149
Germany,export,Metals,Australia,3479,3399
Germany,export,Metals,South Korea,4771,5153
Germany,export,Metals,Mexico,3074,3145
Germany,export,Metals,Italy,2556,2775
Germany,export,Metals,Russia,1135,1234
Germany,export,Metals,Spain,706,668
Germany,export,Metals,Netherlands,3446,3331
Germany,export,Metals,Turkey,3762,3859
Germany,export,Metals,Indonesia,2353,2523
Germany,export,Metals,Saudi Arabia,1035,1022
Germany,export,Metals,South Africa,4226,4318
Germany,export,Plastics,USA,3493,3178
Germany,export,Plastics,France,898,866
Germany,export,Plastics,Japan,3955,4221
Germany,export,Plastics,China,2741,2784
Germany,export,Plastics,UK,727,717
Germany,export,Plastics,India,4285,4428
Germany,export,Plastics,Canada,3505,3616
Germany,export,Plastics,Brazil,4967,5515
Germany,export,Plastics,Australia,1303,1240
Germany,export,Plastics,South Korea,4880,4462
Germany,export,Plastics,Mexico,945,975
Germany,export,Plastics,Italy,4408,4556
Germany,export,Plastics,Russia,1318,1257
Germany,export,Plastics,Spain,2665,2806
Germany,export,Plastics,Netherlands,3031,2919
Germany,export,Plastics,Turkey,1403,1410
Germany,export,Plastics,Indonesia,2451,2318
Germany,export,Plastics,Saudi Arabia,1380,1427
Germany,export,Plastics,South Africa,655,664
Germany,export,Minerals,USA,4729,4904
Germany,export,Minerals,France,4444,4832
Germany,export,Minerals,Japan,793,817
Germany,export,Minerals,China,3985,3811
Germany,export,Minerals,UK,4201,3981
Germany,export,Minerals,India,1793,1910
Germany,export,Minerals,Canada,3097,3018
Germany,export,Minerals,Brazil,1287,1272
Germany,export,Minerals,Australia,4734,4913
Germany,export,Minerals,South Korea,3409,3700
Germany,export,Minerals,Mexico,4364,4425
Germany,export,Minerals,Italy,2388,2484
Germany,export,Minerals,Russia,1587,1548
Germany,export,Minerals,Spain,4311,3973
Germany,export,Minerals,Netherlands,3091,3262
Germany,export,Minerals,Turkey,834,766
Germany,export,Minerals,Indonesia,4997,4590
Germany,export,Minerals,Saudi Arabia,1260,1351
Germany,export,Minerals,South Africa,4508,4714
Germany,export,Food Products,USA,1944,2053
Germany,export,Food Products,France,1558,1678
Germany,export,Food Products,Japan,2978,3271
Germany,export,Food Products,China,4546,4967
Germany,export,Food Products,UK,4021,4250
Germany,export,Food Products,India,3553,3236
Germany,export,Food Products,Canada,1514,1473
Germany,export,Food Products,Brazil,4394,4467
Germany,export,Food Products,Australia,1920,1846
Germany,export,Food Products,South Korea,4455,4752
Germany,export,Food Products,Mexico,3507,3728
Germany,export,Food Products,Italy,2161,1997
Germany,export,Food Products,Russia,3878,4094
Germany,export,Food Products,Spain,3159,3463
Germany,export,Food Products,Netherlands,4772,4742
Germany,export,Food Products,Turkey,4329,4704
Germany,export,Food Products,Indonesia,2749,2785
Germany,export,Food Products,Saudi Arabia,4746,4628
Germany,export,Food Products,South Africa,4714,4807
Germany,export,Wood Products,USA,1437,1449
Germany,export,Wood Products,France,3581,3882
Germany,export,Wood Products,Japan,1526,1501
Germany,export,Wood Products,China,987,960
Germany,export,Wood Products,UK,601,633
Germany,export,Wood Products,India,3849,4233
Germany,export,Wood Products,Canada,2348,2380
Germany,export,Wood Products,Brazil,3173,3395
Germany,export,Wood Products,Australia,4009,4307
Germany,export,Wood Products,South Korea,719,697
Germany,export,Wood Products,Mexico,2236,2238
Germany,export,Wood Products,Italy,2181,2169
Germany,export,Wood Products,Russia,2506,2355
Germany,export,Wood Products,Spain,3151,3243
Germany,export,Wood Products,Netherlands,4179,4095
Germany,export,Wood Products,Turkey,1707,1586
Germany,export,Wood Products,Indonesia,3011,2837
Germany,export,Wood Products,Saudi Arabia,1109,1228
Germany,export,Wood Products,South Africa,1757,1794
Germany,export,Energy,USA,2013,1963
Germany,export,Energy,France,4890,5173
Germany,export,Energy,Japan,2288,2336
Germany,export,Energy,China,3759,3474
Germany,export,Energy,UK,1717,1751
Germany,export,Energy,India,2269,2306
Germany,export,Energy,Canada,626,569
Germany,export,Energy,Brazil,3621,3682
Germany,export,Energy,Australia,3842,3690
Germany,export,Energy,South Korea,3058,3001
Germany,export,Energy,Mexico,3450,3641
Germany,export,Energy,Italy,4764,5281
Germany,export,Energy,Russia,4601,4581
Germany,export,Energy,Spain,849,779
Germany,export,Energy,Netherlands,1688,1842
Germany,export,Energy,Turkey,2033,2133
Germany,export,Energy,Indonesia,3932,3730
Germany,export,Energy,Saudi Arabia,2736,2723
Germany,export,Energy,South Africa,4717,5231
Germany,export,Services,USA,2997,2881
Germany,export,Services,France,1996,2208
Germany,export,Services,Japan,588,546
Germany,export,Services,China,4827,4926
Germany,export,Services,UK,1113,1039
Germany,export,Services,India,1298,1284
Germany,export,Services,Canada,4706,4342
Germany,export,Services,Brazil,4446,4362
Germany,export,Services,Australia,4540,4262
Germany,export,Services,South Korea,729,689
Germany,export,Services,Mexico,1872,2075
Germany,export,Services,Italy,2377,2244
Germany,export,Services,Russia,708,784
Germany,export,Services,Spain,2430,2542
Germany,export,Services,Netherlands,554,555
Germany,export,Services,Turkey,4460,4897
Germany,export,Services,Indonesia,933,870
Germany,export,Services,Saudi Arabia,4710,4390
Germany,export,Services,South Africa,4251,4361
Germany,export,ICT,USA,4406,4517
Germany,export,ICT,France,3290,3188
Germany,export,ICT,Japan,4935,5161
Germany,export,ICT,China,975,1012
Germany,export,ICT,UK,4768,5121
Germany,export,ICT,India,1601,1460
Germany,export,ICT,Canada,4147,4035
Germany,export,ICT,Brazil,3996,3700
Germany,export,ICT,Australia,4069,3907
Germany,export,ICT,South Korea,4064,3799
Germany,export,ICT,Mexico,822,791
Germany,export,ICT,Italy,3987,3827
Germany,export,ICT,Russia,1620,1615
Germany,export,ICT,Spain,1440,1325
Germany,export,ICT,Netherlands,1822,1844
Germany,export,ICT,Turkey,4413,4241
Germany,export,ICT,Indonesia,1759,1608
Germany,export,ICT,Saudi Arabia,4609,5023
Germany,export,ICT,South Africa,1103,1086
Germany,import,Machinery,USA,3642,3763
Germany,import,Machinery,France,2301,2251
Germany,import,Machinery,Japan,4571,5013
Germany,import,Machinery,China,687,663
Germany,import,Machinery,UK,1002,964
Germany,import,Machinery,India,1487,1599
Germany,import,Machinery,Canada,4369,4089
Germany,import,Machinery,Brazil,3380,3412
Germany,import,Machinery,Australia,1611,1699
Germany,import,Machinery,South Korea,1810,1782
Germany,import,Machinery,Mexico,3239,3421
Germany,import,Machinery,Italy,4152,4426
Germany,import,Machinery,Russia,1334,1213
Germany,import,Machinery,Spain,3282,3077
Germany,import,Machinery,Netherlands,2179,2287
Germany,import,Machinery,Turkey,4818,5061
Germany,import,Machinery,Indonesia,2401,2643
Germany,import,Machinery,Saudi Arabia,4451,4381
Germany,import,Machinery,South Africa,3046,3043
Germany,import,Chemicals,USA,2077,2180
Germany,import,Chemicals,France,3644,3446
Germany,import,Chemicals,Japan,1846,1939
Germany,import,Chemicals,China,2362,2549
Germany,import,Chemicals,UK,4163,4063
Germany,import,Chemicals,India,4329,4178
Germany,import,Chemicals,Canada,3049,3200
Germany,import,Chemicals,Brazil,2771,2554
Germany,import,Chemicals,Australia,2700,2885
Germany,import,Chemicals,South Korea,955,868
Germany,import,Chemicals,Mexico,1286,1219
Germany,import,Chemicals,Italy,726,763
Germany,import,Chemicals,Russia,2651,2938
Germany,import,Chemicals,Spain,1125,1176
Germany,import,Chemicals,Netherlands,2131,2016
Germany,import,Chemicals,Turkey,4758,4942
Germany,import,Chemicals,Indonesia,1131,1193
Germany,import,Chemicals,Saudi Arabia,2458,2370
Germany,import,Chemicals,South Africa,3128,3207
Germany,import,Electronics,USA,1952,1837
Germany,import,Electronics,France,4759,4900
Germany,import,Electronics,Japan,4495,4153
Germany,import,Electronics,China,615,661
Germany,import,Electronics,UK,4677,4319
Germany,import,Electronics,India,606,642
Germany,import,Electronics,Canada,4954,4751
Germany,import,Electronics,Brazil,2588,2605
Germany,import,Electronics,Australia,2850,2886
Germany,import,Electronics,South Korea,3179,3467
Germany,import,Electronics,Mexico,1962,1819
Germany,import,Electronics,Italy,645,639
Germany,import,Electronics,Russia,2517,2609
Germany,import,Electronics,Spain,4078,3980
Germany,import,Electronics,Netherlands,929,1019
Germany,import,Electronics,Turkey,1014,1091
Germany,import,Electronics,Indonesia,2034,2221
Germany,import,Electronics,Saudi Arabia,1821,1872
Germany,import,Electronics,South Africa,1200,1183
Germany,import,Automotive,USA,3521,3272
Germany,import,Automotive,France,4435,4542
Germany,import,Automotive,Japan,2629,2461
Germany,import,Automotive,China,4150,3940
Germany,import,Automotive,UK,3956,4381
Germany,import,Automotive,India,2998,3146
Germany,import,Automotive,Canada,2157,2323
Germany,import,Automotive,Brazil,3020,3108
Germany,import,Automotive,Australia,4036,3877
Germany,import,Automotive,South Korea,1125,1134
Germany,import,Automotive,Mexico,2722,2599
Germany,import,Automotive,Italy,4946,4522
Germany,import,Automotive,Russia,3636,3951
Germany,import,Automotive,Spain,2393,2185
Germany,import,Automotive,Netherlands,1359,1313
Germany,import,Automotive,Turkey,4515,4129
Germany,import,Automotive,Indonesia,3845,3851
Germany,import,Automotive,Saudi Arabia,1165,1247
Germany,import,Automotive,South Africa,3514,3879
Germany,import,Agriculture,USA,2602,2690
Germany,import,Agriculture,France,2269,2363
Germany,import,Agriculture,Japan,2088,2150
Germany,import,Agriculture,China,3848,3700
Germany,import,Agriculture,UK,1550,1505
Germany,import,Agriculture,India,4347,4436
Germany,import,Agriculture,Canada,1534,1397
Germany,import,Agriculture,Brazil,2439,2466
Germany,import,Agriculture,Australia,687,653
Germany,import,Agriculture,South Korea,1225,1230
Germany,import,Agriculture,Mexico,4030,3917
Germany,import,Agriculture,Italy,2972,2983
Germany,import,Agriculture,Russia,609,647
Germany,import,Agriculture,Spain,4449,4332
Germany,import,Agriculture,Netherlands,2574,2766
Germany,import,Agriculture,Turkey,2960,2849
Germany,import,Agriculture,Indonesia,1900,1765
Germany,import,Agriculture,Saudi Arabia,1933,1908
Germany,import,Agriculture,South Africa,725,667
Germany,import,Textiles,USA,4007,4032
Germany,import,Textiles,France,4370,4283
Germany,import,Textiles,Japan,1144,1221
Germany,import,Textiles,China,749,745
Germany,import,Textiles,UK,3615,3550
Germany,import,Textiles,India,2047,2221
Germany,import,Textiles,Canada,3735,4122
Germany,import,Textiles,Brazil,644,597
Germany,import,Textiles,Australia,4429,4159
Germany,import,Textiles,South Korea,2270,2397
Germany,import,Textiles,Mexico,604,607
Germany,import,Textiles,Italy,1975,1878
Germany,import,Textiles,Russia,3081,2841
Germany,import,Textiles,Spain,4843,4975
Germany,import,Textiles,Netherlands,4344,4352
Germany,import,Textiles,Turkey,4807,4829
Germany,import,Textiles,Indonesia,2333,2301
Germany,import,Textiles,Saudi Arabia,4821,4552
Germany,import,Textiles,South Africa,2283,2331
Germany,import,Pharmaceuticals,USA,1512,1470
Germany,import,Pharmaceuticals,France,4792,4665
Germany,import,Pharmaceuticals,Japan,4065,3725
Germany,import,Pharmaceuticals,China,2911,3060
Germany,import,Pharmaceuticals,UK,4718,4367
Germany,import,Pharmaceuticals,India,3348,3379
Germany,import,Pharmaceuticals,Canada,2074,2084
Germany,import,Pharmaceuticals,Brazil,1370,1445
Germany,import,Pharmaceuticals,Australia,4176,4462
Germany,import,Pharmaceuticals,South Korea,4939,5386
Germany,import,Pharmaceuticals,Mexico,3689,3930
Germany,import,Pharmaceuticals,Italy,1304,1255
Germany,import,Pharmaceuticals,Russia,1101,1186
Germany,import,Pharmaceuticals,Spain,4684,5110
Germany,import,Pharmaceuticals,Netherlands,1380,1326
Germany,import,Pharmaceuticals,Turkey,3247,3071
Germany,import,Pharmaceuticals,Indonesia,1454,1557
Germany,import,Pharmaceuticals,Saudi Arabia,3792,3857
Germany,import,Pharmaceuticals,South Africa,4263,4564
Germany,import,Metals,USA,2303,2132
Germany,import,Metals,France,1804,1692
Germany,import,Metals,Japan,2758,3029
Germany,import,Metals,China,1795,1976
Germany,import,Metals,UK,2048,1928
Germany,import,Metals,India,3288,3143
Germany,import,Metals,Canada,3019,3012
Germany,import,Metals,Brazil,4424,4307
Germany,import,Metals,Australia,4317,4017
Germany,import,Metals,South Korea,3372,3178
Germany,import,Metals,Mexico,2188,2124
Germany,import,Metals,Italy,4866,4865
Germany,import,Metals,Russia,4652,4673
Germany,import,Metals,Spain,2750,2950
Germany,import,Metals,Netherlands,4527,4580
Germany,import,Metals,Turkey,2781,3010
Germany,import,Metals,Indonesia,2132,2348
Germany,import,Metals,Saudi Arabia,3575,3471
Germany,import,Metals,South Africa,2527,2608
Germany,import,Plastics,USA,637,667
Germany,import,Plastics,France,4160,3927
Germany,import,Plastics,Japan,2794,3088
Germany,import,Plastics,China,2485,2262
Germany,import,Plastics,UK,4361,4679
Germany,import,Plastics,India,3356,3636
Germany,import,Plastics,Canada,1098,1145
Germany,import,Plastics,Brazil,779,809
Germany,import,Plastics,Australia,1429,1521
Germany,import,Plastics,South Korea,2700,2950
Germany,import,Plastics,Mexico,1917,1799
Germany,import,Plastics,Italy,2130,1960
Germany,import,Plastics,Russia,3031,2917
Germany,import,Plastics,Spain,2754,2966
Germany,import,Plastics,Netherlands,2422,2282
Germany,import,Plastics,Turkey,4093,3949
Germany,import,Plastics,Indonesia,858,900
Germany,import,Plastics,Saudi Arabia,4489,4980
Germany,import,Plastics,South Africa,946,966
Germany,import,Minerals,USA,2062,2177
Germany,import,Minerals,France,4633,4997
Germany,import,Minerals,Japan,2616,2753
Germany,import,Minerals,China,4533,4805
Germany,import,Minerals,UK,1439,1343
Germany,import,Minerals,India,3160,3455
Germany,import,Minerals,Canada,4688,4612
Germany,import,Minerals,Brazil,1763,1744
Germany,import,Minerals,Australia,2091,2035
Germany,import,Minerals,South Korea,4914,4854
Germany,import,Minerals,Mexico,888,981
Germany,import,Minerals,Italy,4838,4607
Germany,import,Minerals,Russia,3253,3057
Germany,import,Minerals,Spain,588,649
Germany,import,Minerals,Netherlands,1580,1653
Germany,import,Minerals,Turkey,4016,4160
Germany,import,Minerals,Indonesia,4740,4358
Germany,import,Minerals,Saudi Arabia,4567,4871
Germany,import,Minerals,South Africa,2908,2874
Germany,import,Food Products,USA,2989,3073
Germany,import,Food Products,France,820,852
Germany,import,Food Products,Japan,3096,2907
Germany,import,Food Products,China,4719,5083
Germany,import,Food Products,UK,748,713
Germany,import,Food Products,India,2614,2875
Germany,import,Food Products,Canada,1023,1104
Germany,import,Food Products,Brazil,1805,1934
Germany,import,Food Products,Australia,868,793
Germany,import,Food Products,South Korea,1954,2039
Germany,import,Food Products,Mexico,2044,2222
Germany,import,Food Products,Italy,4307,4209
Germany,import,Food Products,Russia,4889,4765
Germany,import,Food Products,Spain,918,982
Germany,import,Food Products,Netherlands,2126,2001
Germany,import,Food Products,Turkey,4124,4525
Germany,import,Food Products,Indonesia,4325,4769
Germany,import,Food Products,Saudi Arabia,3837,3544
Germany,import,Food Products,South Africa,4068,4024
Germany,import,Wood Products,USA,3750,3468
Germany,import,Wood Products,France,4365,4514
Germany,import,Wood Products,Japan,1013,1050
Germany,import,Wood Products,China,4340,4696
Germany,import,Wood Products,UK,3593,3290
Germany,import,Wood Products,India,3132,2903
Germany,import,Wood Products,Canada,1292,1275
Germany,import,Wood Products,Brazil,1251,1326
Germany,import,Wood Products,Australia,4038,4288
Germany,import,Wood Products,South Korea,1153,1232
Germany,import,Wood Products,Mexico,4540,4176
Germany,import,Wood Products,Italy,3445,3711
Germany,import,Wood Products,Russia,2329,2201
Germany,import,Wood Products,Spain,957,972
Germany,import,Wood Products,Netherlands,2284,2428
Germany,import,Wood Products,Turkey,1382,1457
Germany,import,Wood Products,Indonesia,2978,2920
Germany,import,Wood Products,Saudi Arabia,602,606
Germany,import,Wood Products,South Africa,966,967
Germany,import,Energy,USA,3531,3732
Germany,import,Energy,France,4118,4082
Germany,import,Energy,Japan,4123,4530
Germany,import,Energy,China,1766,1641
Germany,import,Energy,UK,3235,3180
Germany,import,Energy,India,2322,2551
Germany,import,Energy,Canada,1890,1956
Germany,import,Energy,Brazil,4624,4838
Germany,import,Energy,Australia,2785,2727
Germany,import,Energy,South Korea,1233,1223
Germany,import,Energy,Mexico,1143,1195
Germany,import,Energy,Italy,4145,4566
Germany,import,Energy,Russia,3211,3079
Germany,import,Energy,Spain,1008,1021
Germany,import,Energy,Netherlands,985,988
Germany,import,Energy,Turkey,2349,2217
Germany,import,Energy,Indonesia,1802,1797
Germany,import,Energy,Saudi Arabia,3498,3640
Germany,import,Energy,South Africa,3771,3518
Germany,import,Services,USA,2789,2619
Germany,import,Services,France,4888,4518
Germany,import,Services,Japan,1998,1845
Germany,import,Services,China,3166,3053
Germany,import,Services,UK,3036,3050
Germany,import,Services,India,4504,4140
Germany,import,Services,Canada,1933,1937
Germany,import,Services,Brazil,1208,1110
Germany,import,Services,Australia,1168,1085
Germany,import,Services,South Korea,1839,1854
Germany,import,Services,Mexico,3034,2873
Germany,import,Services,Italy,4105,4119
Germany,import,Services,Russia,1523,1386
Germany,import,Services,Spain,4911,4889
Germany,import,Services,Netherlands,2937,3198
Germany,import,Services,Turkey,3986,4276
Germany,import,Services,Indonesia,788,764
Germany,import,Services,Saudi Arabia,1824,1741
Germany,import,Services,South Africa,2664,2899
Germany,import,ICT,USA,2155,2159
Germany,import,ICT,France,2037,1904
Germany,import,ICT,Japan,2724,2877
Germany,import,ICT,China,3295,3636
Germany,import,ICT,UK,3147,3353
Germany,import,ICT,India,1227,1210
Germany,import,ICT,Canada,2862,2751
Germany,import,ICT,Brazil,3467,3555
Germany,import,ICT,Australia,3550,3255
Germany,import,ICT,South Korea,2529,2456
Germany,import,ICT,Mexico,3015,3005
Germany,import,ICT,Italy,1542,1406
Germany,import,ICT,Russia,3908,3728
Germany,import,ICT,Spain,4523,4854
Germany,import,ICT,Netherlands,1906,2040
Germany,import,ICT,Turkey,1634,1652
Germany,import,ICT,Indonesia,635,694
Germany,import,ICT,Saudi Arabia,3789,3685
Germany,import,ICT,South Africa,2347,2227
USA,export,Machinery,Germany,4836,5097
USA,export,Machinery,France,3431,3214
USA,export,Machinery,Japan,2758,2988
USA,export,Machinery,China,1326,1235
USA,export,Machinery,UK,2672,2909
USA,export,Machinery,India,4297,4014
USA,export,Machinery,Canada,621,570
USA,export,Machinery,Brazil,4351,4636
USA,export,Machinery,Australia,890,936
USA,export,Machinery,South Korea,699,744
USA,export,Machinery,Mexico,3241,3047
USA,export,Machinery,Italy,2471,2280
USA,export,Machinery,Russia,3321,3398
USA,export,Machinery,Spain,1178,1258
USA,export,Machinery,Netherlands,4487,4200
USA,export,Machinery,Turkey,4639,4431
USA,export,Machinery,Indonesia,3632,3382
USA,export,Machinery,Saudi Arabia,3748,4006
USA,export,Machinery,South Africa,3903,4314
USA,export,Chemicals,Germany,1705,1758
USA,export,Chemicals,France,2964,3156
USA,export,Chemicals,Japan,3620,3936
USA,export,Chemicals,China,3538,3404
USA,export,Chemicals,UK,3844,3969
USA,export,Chemicals,India,1557,1504
USA,export,Chemicals,Canada,3961,4045
USA,export,Chemicals,Brazil,1815,1942
USA,export,Chemicals,Australia,3354,3505
USA,export,Chemicals,South Korea,929,890
USA,export,Chemicals,Mexico,3799,4065
USA,export,Chemicals,Italy,1951,2039
USA,export,Chemicals,Russia,4323,3980
USA,export,Chemicals,Spain,4564,4923
USA,export,Chemicals,Netherlands,1890,1728
USA,export,Chemicals,Turkey,1684,1836
USA,export,Chemicals,Indonesia,3959,3754
USA,export,Chemicals,Saudi Arabia,3937,4065
USA,export,Chemicals,South Africa,3665,3419
USA,export,Electronics,Germany,2283,2387
USA,export,Electronics,France,4594,4644
USA,export,Electronics,Japan,3655,3543
USA,export,Electronics,China,3009,3218
USA,export,Electronics,UK,3859,3804
USA,export,Electronics,India,3423,3503
USA,export,Electronics,Canada,4478,4238
USA,export,Electronics,Brazil,4739,4516
USA,export,Electronics,Australia,4296,4756
USA,export,Electronics,South Korea,2728,2597
USA,export,Electronics,Mexico,1126,1033
USA,export,Electronics,Italy,4671,5002
USA,export,Electronics,Russia,1805,1758
USA,export,Electronics,Spain,3330,3066
USA,export,Electronics,Netherlands,2559,2464
USA,export,Electronics,Turkey,2565,2395
USA,export,Electronics,Indonesia,4412,4703
USA,export,Electronics,Saudi Arabia,2622,2563
USA,export,Electronics,South Africa,1571,1660
USA,export,Automotive,Germany,1789,1664
USA,export,Automotive,France,4421,4666
USA,export,Automotive,Japan,3691,4010
USA,export,Automotive,China,2996,3172
USA,export,Automotive,UK,4499,4355
USA,export,Automotive,India,3598,3595
USA,export,Automotive,Canada,2753,3058
USA,export,Automotive,Brazil,4159,4083
USA,export,Automotive,Australia,1530,1581
USA,export,Automotive,South Korea,905,852
USA,export,Automotive,Mexico,1994,2061
USA,export,Automotive,Italy,2789,2756
USA,export,Automotive,Russia,3647,3667
USA,export,Automotive,Spain,847,917
USA,export,Automotive,Netherlands,1997,2034
USA,export,Automotive,Turkey,2093,1915
USA,export,Automotive,Indonesia,3893,3763
USA,export,Automotive,Saudi Arabia,663,716
USA,export,Automotive,South Africa,4591,4274
USA,export,Agriculture,Germany,3036,3331
USA,export,Agriculture,France,2442,2270
USA,export,Agriculture,Japan,3601,3826
USA,export,Agriculture,China,2060,1966
USA,export,Agriculture,UK,1622,1534
USA,export,Agriculture,India,2589,2700
USA,export,Agriculture,Canada,705,673
USA,export,Agriculture,Brazil,1660,1798
USA,export,Agriculture,Australia,4300,4082
USA,export,Agriculture,South Korea,795,869
USA,export,Agriculture,Mexico,1823,2005
USA,export,Agriculture,Italy,1178,1149
