country_a,country_b,year,total_export_A_to_B,total_import_A_from_B,trade_volume,bec_1_export_A_to_b,bec_2_export_A_to_b,bec_3_export_A_to_b,bec_4_export_A_to_b,bec_5_export_A_to_b,bec_6_export_A_to_b,bec_7_export_A_to_b,bec_8_export_A_to_b,bec_1_import_A_from_B,bec_2_import_A_from_B,bec_3_import_A_from_B,bec_4_import_A_from_B,bec_5_import_A_from_B,bec_6_import_A_from_B,bec_7_import_A_from_B,bec_8_import_A_from_B,scenario
AUS,USA,2024,10256938957.22906,26914766937.38862,37171705894.617676,1775747318.7771451,1141006667.5592268,1457757673.9757948,545579683.8369488,2583732055.858407,616558600.0737683,2065905005.7258966,70651951.42187402,3399220684.2440934,2822013832.308902,3171322200.0164633,1630593344.934489,5966464628.18914,1851704137.1458964,4967098986.784678,3106349123.7649584,forecast
AUS,USA,2025,10213575906.759035,28773632004.852283,38987207911.61132,1789110547.3447645,1161138932.0518386,1438093306.0078113,333508251.33929616,2724182428.307348,600354341.3934108,2119571972.9582586,47616127.35630813,3540930496.119852,3051862362.782765,3288829940.4117756,1328167369.2699358,6909675632.06814,2002232080.475231,5479929350.345399,3172004773.3791895,forecast
AUS,USA,2026,10246282755.202642,30845683177.80294,41091965933.005585,1800288954.9259336,1174994202.0016286,1421924570.0733724,192081926.67853993,2863575875.340885,587022152.5976781,2175117611.3132076,31277462.271396913,3681682954.573186,3292194696.99092,3408296063.041539,1035390433.1298776,7995526323.922539,2167954851.1794615,6050080335.356892,3214557519.6085267,forecast
AUS,VNM,2024,6962754271.566717,78077436898.15643,85040191169.72314,1367975211.3438613,2042122245.0731502,671903031.2258139,1198073057.063788,308096438.00684875,1244746564.0913794,129007784.23677668,829940.5251000036,660488961.3531089,1687030241.3544376,654183816.0862706,451987009.98129165,224137572.54952702,175669836.28217915,74467411.12503093,74149472049.42459,forecast
AUS,VNM,2025,8315213781.17418,13265597375227.432,13273912589008.605,1625541705.5135808,2250258991.8999853,702122702.762992,1545093415.5053256,361961393.71026075,1710464843.7985237,119354646.30698302,416081.676529096,626593923.1098224,1827659407.2806842,706399792.7234197,504826254.31621474,250165876.82353505,156721958.93431413,77273866.61879355,13261447734147.625,forecast
AUS,VNM,2026,9949443706.271894,2353246111253983.5,2353256060697690.0,1908162665.8043828,2465570880.8809495,728528308.9186476,1961402716.4693263,419651702.6132784,2357266953.9264483,108666972.1846365,193505.47422391459,584765037.0736659,1969748357.976983,761674431.2187543,557659210.9913669,278280455.9493743,138924990.87429932,79641054.38736008,2353241740560445.0,forecast
CHE,CHN,2024,58748843120.04784,4342458243.788717,63091301363.836555,642814191.6501473,2233446247.9330897,4060290096.9678264,39321226724.02037,1455783968.631401,4043688819.247869,6953158516.48321,38434555.11392559,46491508.591102466,188294964.14532697,242522030.1018157,3157253489.5595684,56045444.6476496,98774551.00689173,537507248.3726273,15569007.363735255,forecast
CHE,CHN,2025,109714690533.31284,4437376950.175047,114152067483.48788,818717984.6937113,2585566815.74549,4492806188.270351,86667240765.05211,1847773995.5894036,5159670411.619824,8121104487.598003,21809884.743938796,36695271.9559838,155655747.4055529,182972482.47027498,3495319640.4261174,45257950.38115896,90241825.82417572,423784198.11741215,7449833.594370605,forecast
CHE,CHN,2026,211164203443.7465,4420850022.52105,215585053466.26755,1037815402.5823029,2978679847.2042017,4955340398.9219055,183721158044.96005,2336582569.9511003,6627408412.134059,9495090244.997421,12128522.995456584,28719284.50138697,127849787.24906774,137863603.49802953,3670214931.239393,35939535.20100659,83347693.40069462,333474194.8784082,3440992.553063496,forecast
CHE,DEU,2024,38512894721.18743,53582850351.56706,92095745072.75449,2191159572.4901066,6159766887.497243,10090455343.297298,3570518515.7940965,5061986335.935991,1451172898.210884,9786593932.344624,201241235.61718076,3174129444.102828,8043609126.219722,13992119064.887516,5152611710.375384,6942296635.108209,2358956383.7248125,12384664582.388895,1534463404.759692,forecast
CHE,DEU,2025,38517442080.80353,52867483822.87455,91384925903.67807,2215577617.1585946,6087634940.398231,10554872195.119175,3417006462.719042,5197061765.227461,1462468657.6400883,9421396962.17274,161423480.36819288,3162205906.672245,8111608539.717448,14474062275.206963,4540397475.788518,7042397192.763325,2323843700.7723,11952183010.79439,1260785721.1593647,forecast
CHE,DEU,2026,38602042232.37094,52146309460.78721,90748351693.15814,2237382981.0328264,6024982016.624046,11065366192.957,3254814600.5761795,5335631251.54859,1474428407.3685946,9080896050.542131,128540731.72157307,3136212770.6812153,8087824874.336842,14962532039.818436,3981567508.511434,7126850721.798603,2289854553.356825,11528355000.082853,1033111992.2009969,forecast
CHE,FRA,2024,14760041558.925804,17462646058.191532,32222687617.117336,1206051123.2722466,3361207242.301689,1720320402.6525166,3556412990.742051,1482697087.7994256,290512672.05071944,3054930050.4847345,87909989.62242073,1779171288.593748,2738898953.8815207,2259983716.822435,3716389259.860407,2428804744.697618,405361694.4542256,4094913544.1304674,39122855.75110993,forecast
CHE,FRA,2025,14540398677.437078,18363899165.346172,32904297842.78325,1104388829.5404272,3950338130.1510706,1651543978.0286868,3089369835.912399,1526722642.9703133,269975377.17831933,2841169898.7664723,106889984.88938996,1719055356.8097684,3073651912.8507524,2365017613.830745,3978277818.067382,2675451495.6275325,420007186.3396204,4097495663.9605017,34942117.85987022,forecast
CHE,FRA,2026,14423092644.312813,19337923246.27259,33761015890.585403,1008490907.0462344,4578207960.247368,1585941353.9881353,2668211916.143811,1563472856.9774907,252428266.92983723,2639490571.8935,126848811.0864353,1656888923.4067128,3435932556.759316,2474116531.967429,4254673744.3227625,2950319991.5365148,435239392.38632774,4100196596.257087,30555509.636438537,forecast
CHE,HKG,2024,16106960848.789677,2821304329.544219,18928265178.333897,81892104.63215524,58152584.144708715,226466323.43272406,11917037624.864325,99525380.56964481,213479721.5557709,3495628733.874473,14778375.715874024,9672168.959619885,3733212.9976902734,31695248.257386915,2065687957.8306503,61100853.66304751,33001599.080173634,615513517.7424948,899771.0131558325,forecast
CHE,HKG,2025,22649921137.465,2006999471.4514132,24656920608.916412,144039701.07537183,86636597.80588506,350489297.8143154,15725306297.646318,172441560.695627,342406041.35505754,5799002312.011655,29599329.060773093,6784230.244963137,1943596.749195385,19353628.497140046,1472650560.3289123,39009358.39253159,22082085.655449823,444931294.0698402,244717.51338064193,forecast
CHE,HKG,2026,31609801230.24399,1404028987.3939629,33013830217.637955,248283286.24782363,126651473.22729298,539743187.3170643,20254377099.723995,299816627.0288707,550631372.8116813,9534000614.877937,56297569.009331726,4727920.9395397445,1010461.3917729163,11811361.41975999,1024715560.4590188,24972606.31701838,14851396.04787018,321874552.4822535,65128.33672938253,forecast
CHE,IDN,2024,271209866.75894153,1740494683.380592,2011704550.1395335,9397868.102714697,6946798.932376213,19578031.396434803,199902729.48083115,9219468.790513525,2204838.6878914237,22635404.023509264,1324727.3446704992,38894432.2307588,52755766.348520026,79055706.47639984,1354882476.5870492,15079054.084261917,26906995.275827806,169914389.42125326,3005862.956521348,forecast
CHE,IDN,2025,225084512.08922228,2243612747.34598,2468697259.4352026,8896786.107040288,6094130.627689139,19348517.60197913,152221225.15913162,10649913.340046434,1471229.4728661594,25678098.419640623,724611.360828882,52489713.464264594,77774905.02308348,76034949.4607317,1748790142.323873,16587954.660915434,50906445.75397381,220077041.63605446,951595.0230835885,forecast
CHE,IDN,2026,189827277.8344904,2627936629.608957,2817763907.443447,8410953.970430814,5348579.328594773,19327425.432871196,113640934.17428322,12385751.33697548,983398.9474228739,29334541.563178744,395693.08073328924,66698680.89912399,110778583.48876446,73729345.50756283,1991684564.6136928,18178187.970137592,98752741.13104212,267821990.60500258,292535.39363121777,forecast
CHE,IND,2024,9595659117.428295,1015312842.689822,10610971960.118116,175037496.5968143,959077568.6679924,672801185.1800791,6805184621.315981,193566442.04670578,157277137.09766862,617169486.7467079,15545179.776347172,7078483.045171763,56764018.294078164,35479054.07768979,851385439.7827533,4812971.4627215145,2528894.008813975,55763652.23090954,1500329.7876838187,forecast
CHE,IND,2025,6294237171.157176,987389545.8015988,7281626716.958775,176840179.55248937,987969803.6364522,710309901.5364734,3363566109.639465,199315747.18823555,200577872.08424705,641158622.7140058,14498934.805809332,6716795.247262402,61101390.14236052,36399163.33132516,811356680.9685266,3451062.912925493,2347068.7658645464,65024557.743836075,992826.6894980858,forecast
CHE,IND,2026,4591892017.3279705,961093029.4308203,5552985046.758791,176852377.36499912,1020455231.0826758,752222868.9249728,1505637999.0874999,204161982.90301913,258899429.72637558,660739853.559561,12922274.678867754,6300469.427800274,65403581.40360383,37470134.39943759,770559848.9760569,2486922.6000062022,2175015.1261854907,76042550.8416316,654506.6560982653,forecast
CHE,JPN,2024,6739867295.217816,4133781185.3740587,10873648480.591875,120351268.87952662,400085041.62472504,409805885.6543204,1776559858.349915,404242167.20424527,148632874.08276084,3467541956.69067,12648242.731653158,137412747.37552026,286968666.7049896,233851657.61007455,1311355936.7507236,315774209.6741494,54531336.20321082,1531855999.316668,262030631.73872253,forecast
CHE,JPN,2025,7110194420.19867,4396221079.229678,11506415499.428349,107889674.75962791,383703694.7344431,391255310.5110582,2097515331.457265,386965342.2011265,136485582.4237197,3598375113.5634637,8004370.547966089,118792403.63095634,286735552.14946914,220510268.07407543,1731082082.426161,392905979.0392006,52989451.5412725,1395663446.3555193,197541896.01302344,forecast
CHE,JPN,2026,7547887532.832019,4740458159.818479,12288345692.650497,96224676.33756937,367694436.2607443,372968657.67459273,2463712762.8154206,371799961.74497193,124693822.21295659,3745753029.3819714,5040186.403792205,99891185.80494013,284214595.7475011,208092939.4046399,2186141429.2493043,488527872.4060399,51665292.96313582,1271291394.0090103,150633450.23390713,forecast
CHE,KOR,2024,2835586439.091792,943207220.5760663,3778793659.667858,98029164.30141187,184046587.4991134,218683199.13054755,288676195.336759,222310013.99470505,73044531.82086797,1740452741.507238,10344005.501149343,63037606.88063831,98778176.80417913,113767317.39524928,95738032.61182117,91872695.02013479,27695449.34162935,450626700.7417318,1691241.7806824627,forecast
CHE,KOR,2025,2999366529.1908894,1045891155.8372328,4045257685.028122,94499515.44735432,183078612.2913725,191403408.44965228,282355712.56635255,210390709.85442424,66415866.70735969,1962422152.5956597,8800551.2787141,72015781.77720731,112701756.76607908,115141627.08133796,112784112.79384284,109022601.45328625,32629133.73899439,490452212.6071343,1143929.6193506499,forecast
CHE,KOR,2026,3169113961.7927046,1160773032.641783,4329886994.434487,89720232.22585277,180679300.5322181,166941271.24303034,274270833.7714474,197832595.03971767,60661398.35675595,2191753451.362659,7254879.261023732,81868837.68875207,128431479.74601448,116434764.85540994,132037224.30121902,129441881.92810822,38407095.18797177,533429360.4419137,722388.4923938259,forecast
CHE,MYS,2024,928799832.9067659,590817018.6323906,1519616851.5391564,24448647.12733607,29370417.045302596,168409119.11760327,327471532.35122967,25311254.255231906,128912775.1557401,217011877.2518619,7864210.602460341,15186285.686767014,51138490.627386354,117937401.99276088,223223588.7235696,11872690.575447613,33762066.810413375,136688152.06203294,1008342.1540127931,forecast
CHE,MYS,2025,878278177.6810908,589510845.9029361,1467789023.5840268,22753346.783165757,27499451.963278085,162965373.43737438,303072312.2748387,24514599.86867815,107832959.76861687,222794782.73991156,6845350.845227379,13793891.944042552,33933733.09748447,133402822.33732359,225458832.4814946,12107383.471493922,24691181.797840334,145577280.62750286,545720.1457537212,forecast
CHE,MYS,2026,834545940.2891768,597515031.4928982,1432060971.782075,21212754.75431757,25954803.942682955,158369764.43654245,278986036.7356375,23879286.3130144,90678089.54757184,229570612.8830626,5894591.676347616,12485017.171290122,22588901.37071546,150404727.77521756,226992097.14199865,12486578.123120552,17929965.162356254,154337352.8263433,290391.92185638356,forecast
CHE,NLD,2024,5587627017.41655,9686922783.235329,15274549800.651878,547618666.8847651,830752556.5896155,856686055.299244,146705820.407245,460829652.77596736,440073880.3681582,2279640676.613477,25319708.47807693,1030006897.387928,1280809667.788368,1417983646.093386,330693902.95884204,797038492.5928257,958576077.084606,3726941460.818129,144872638.51124474,forecast
CHE,NLD,2025,5819827757.302006,9891253223.954947,15711080981.256952,541617447.1486458,919646564.7348807,874388845.7194661,151602957.1049997,484161723.2158844,474506987.9802694,2356114634.3133616,17788597.084498547,1065773957.2832869,1436287411.2127242,1387301050.1767764,345258894.62450826,868921941.2859619,934374185.7155278,3745179267.8177853,108156515.8383767,forecast
CHE,NLD,2026,6058523371.601855,10142411567.812685,16200934939.41454,534892918.92304254,1016294356.5762483,892342627.7735461,154621256.92803037,508076333.68570316,515036582.31154835,2424963219.4068027,12296075.99693403,1101380587.2420297,1610206648.8751655,1357233125.4546912,353763542.4074749,948749597.7656549,913172285.3163382,3777596228.124015,80309552.62731765,forecast
CHE,PHL,2024,299692176.2366983,408079769.6944401,707771945.9311385,5944141.7217185665,1612151.4471827396,8241621.257696451,243173694.1979194,1321035.4067256325,11149478.025792342,28120841.457274187,129212.72238898679,39444747.0962526,20288447.57979545,26552659.980426233,207923741.9896732,5307526.188612314,23695565.57501264,68066060.20532735,16801021.079340354,forecast
