NTM_CODE,NTM_DESCRIPTION,COUNTRY_IMPOSING,IMPLEMENTATION_DATE,COUNTRY_AFFECTED,IS_UNILATERAL,REPEAL_DATE
G32,Bank authorization,Argentina,2020-06-01T00:00:00,World [Valid From: 01 Jun 2020],True,9999-12-31T00:00:00
P42,Export taxes/duties,Argentina,2020-10-06T00:00:00,World [Valid From: 06 Oct 2020],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-09-18T00:00:00,"China, Germany [Valid From: 18 Sep 2020]",False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-04-17T00:00:00,China [Valid From: 17 Apr 2020],False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-04-17T00:00:00,China [Valid From: 17 Apr 2020],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-03-26T00:00:00,"Italy, Slovakia [Valid From: 26 Mar 2020 - Valid Till: 26 Mar 2025]",False,2025-03-26T00:00:00
P163,Certification required by the exporting country,Argentina,2020-07-14T00:00:00,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden [Valid From: 14 Jul 2020]",False,9999-12-31T00:00:00
P161,Testing requirement,Argentina,2020-07-14T00:00:00,"Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden [Valid From: 14 Jul 2020]",False,9999-12-31T00:00:00
A83,Certification requirement,Argentina,2020-08-04T00:00:00,World [Valid From: 04 Aug 2020],True,9999-12-31T00:00:00
A82,Testing requirement,Argentina,2020-08-04T00:00:00,World [Valid From: 04 Aug 2020],True,9999-12-31T00:00:00
P17,Export prohibition for sanitary and phytosanitary reasons,Argentina,2020-08-22T00:00:00,World [Valid From: 22 Aug 2020],True,9999-12-31T00:00:00
A11,Prohibitions for SPS reasons,Argentina,2020-08-22T00:00:00,World [Valid From: 22 Aug 2020],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-10-15T00:00:00,Oman [Valid From: 15 Oct 2020],False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-05-27T00:00:00,"China, Taiwan [Valid From: 27 May 2020]",False,9999-12-31T00:00:00
P161,Testing requirement,Argentina,2020-06-08T00:00:00,World [Valid From: 08 Jun 2020],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-05-11T00:00:00,"China, Taiwan [Valid From: 11 May 2020]",False,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Argentina,2020-09-26T00:00:00,World [Valid From: 26 Sep 2020],True,9999-12-31T00:00:00
B41,TBT regulations on production processes,Argentina,2020-09-26T00:00:00,World [Valid From: 26 Sep 2020],True,9999-12-31T00:00:00
B82,Testing requirement,Argentina,2020-09-26T00:00:00,World [Valid From: 26 Sep 2020],True,9999-12-31T00:00:00
B82,Testing requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B31,Labelling requirements,Armenia,2021-01-01T00:00:00,World [Valid From: 01 Jan 2021],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Australia,2022-04-01T00:00:00,World [Valid From: 01 Apr 2022],True,9999-12-31T00:00:00
B82,Testing requirement,Australia,2022-04-01T00:00:00,World [Valid From: 01 Apr 2022],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Australia,2021-08-15T00:00:00,World [Valid From: 15 Aug 2021],True,9999-12-31T00:00:00
B82,Testing requirement,Australia,2021-08-15T00:00:00,World [Valid From: 15 Aug 2021],True,9999-12-31T00:00:00
B31,Labelling requirements,Australia,2021-08-15T00:00:00,World [Valid From: 15 Aug 2021],True,9999-12-31T00:00:00
P33,"Licensing, permit or registration requirements to export",Australia,2021-07-28T00:00:00,World [Valid From: 28 Jul 2021],True,9999-12-31T00:00:00
P163,Certification required by the exporting country,Australia,2021-07-28T00:00:00,World [Valid From: 28 Jul 2021],True,9999-12-31T00:00:00
P19,"Export technical measures, n.e.s.",Australia,2021-07-28T00:00:00,World [Valid From: 28 Jul 2021],True,9999-12-31T00:00:00
B31,Labelling requirements,Australia,2021-07-08T00:00:00,World [Valid From: 08 Jul 2021],True,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-03-03T00:00:00,India [Valid From: 03 Mar 2020],False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-01-27T00:00:00,China [Valid From: 27 Jan 2020],False,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-02-04T00:00:00,China [Valid From: 04 Feb 2020],False,9999-12-31T00:00:00
D12,Antidumping duty,Argentina,2020-03-09T00:00:00,China [Valid From: 09 Mar 2020],False,9999-12-31T00:00:00
P11,"Authorization or permit requirements to export, for technical reasons",Argentina,2020-03-20T00:00:00,World [Valid From: 20 Mar 2020],True,9999-12-31T00:00:00
E325,Prohibition for the protection of public health,Argentina,2020-02-29T00:00:00,World [Valid From: 29 Feb 2020],True,9999-12-31T00:00:00
P17,Export prohibition for sanitary and phytosanitary reasons,Argentina,2020-02-29T00:00:00,World [Valid From: 29 Feb 2020],True,9999-12-31T00:00:00
H9,"Measures affecting competitions, n.e.s.",Argentina,2020-03-17T00:00:00,World [Valid From: 17 Mar 2020],True,9999-12-31T00:00:00
D11,Antidumping investigation,Argentina,2020-03-03T00:00:00,India [Valid From: 03 Mar 2020],False,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,Iran [Valid From: 23 Jun 2021],False,9999-12-31T00:00:00
B15,Authorization requirement for importers,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,Libya [Valid From: 23 Jun 2021],False,9999-12-31T00:00:00
B15,Authorization requirement for importers,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
E325,Prohibition for the protection of public health,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
E329,"Prohibition for non-economic reasons, n.e.s.",Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
A14,Authorization requirement for SPS reasons for importing certain products,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
A82,Testing requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
A14,Authorization requirement for SPS reasons for importing certain products,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B31,Labelling requirements,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B83,Certification requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B7,"Product-quality, safety or -performance requirement",Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B84,Inspection requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B9,"TBT measures, n.e.s.",Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
B81,Product registration/approval requirement,Australia,2021-06-23T00:00:00,World [Valid From: 23 Jun 2021],True,9999-12-31T00:00:00
