iso3a,iso3b,year,exportsallgoodatob_alldata,importsallgoodafromb_alldata,totaltradeawithb,totaltradeabgdpb,fbic,bandwidth,dependence,norm_lor_avg,tradeagreementindex,norm_allianceindex,securitybandwidth,securitydependence,maritime_connectivity
AUS,CHN,2020,87471849472.0,46552961024.0,134024814592.0,0.97790956,0.049232453,0.26794946,0.10693388,1.0,4,0.18332878,0.02383274,0.0,0.4
AUS,CHN,2021,107711471616.0,55179345920.0,162890809344.0,1.0830621,0.051705513,0.28282365,0.10639908,1.0,4,0.18332878,0.06323044,0.0,0.4
AUS,CHN,2022,93285892096.0,60817227776.0,154103119872.0,0.99487633,0.054540683,0.29536235,0.10746874,1.0,4,0.18332878,0.10015397,0.0,0.4
AUS,CHN,2023,101050384384.0,56474783744.0,155804925952.0,0.96507788,0.057390973,0.30596277,0.10916709,1.0,4,0.18332878,0.13441989,0.0,0.4
AUS,FRA,1999,774074944.0,1734955008.0,2509030144.0,0.13588336,0.0097103762,0.28032932,0.02015971,1.0,0,0.0,0.37391028,0.0,0.3
AUS,FRA,2000,702226368.0,1655626112.0,2357852416.0,0.12287449,0.0092516569,0.28942326,0.018603848,1.0,0,0.0,0.40278098,0.0,0.3
AUS,FRA,2001,806673792.0,1590685824.0,2397359616.0,0.12250302,0.0092232125,0.29706573,0.018069509,1.0,0,0.0,0.42665559,0.0,0.3
AUS,FRA,2002,992190144.0,2034105728.0,3026295808.0,0.15290481,0.0099206427,0.30238986,0.019093666,1.0,0,0.0,0.43914634,0.0,0.3
AUS,FRA,2003,910219840.0,2706473984.0,3616694016.0,0.18124345,0.011389975,0.31181604,0.021258913,1.0,0,0.0,0.46115068,0.0,0.3
AUS,FRA,2004,876751744.0,3681715456.0,4558467072.0,0.22215238,0.013345435,0.31864643,0.024374763,1.0,0,0.0,0.47109181,0.0,0.3
AUS,FRA,2005,969283072.0,3530492928.0,4499776000.0,0.21570426,0.014623371,0.32817143,0.025933638,1.0,0,0.0,0.49479681,0.0,0.3
AUS,FRA,2006,1033786176.0,3073843712.0,4107629824.0,0.19219871,0.015027422,0.33859825,0.025829528,1.0,0,0.18332878,0.52650827,0.0,0.3
AUS,FRA,2007,1302535936.0,3445268992.0,4747805184.0,0.21689352,0.015082482,0.34763494,0.025250277,1.0,0,0.18332878,0.55592763,0.0,0.3
AUS,FRA,2008,1476612992.0,5094236160.0,6570848768.0,0.29941234,0.016820265,0.35687432,0.027430533,1.0,0,0.18332878,0.58149791,0.0,0.3
AUS,FRA,2009,1006192448.0,3697063680.0,4703256064.0,0.22065221,0.017902097,0.36337841,0.028672233,1.0,0,0.18332878,0.60093874,0.0,0.3
AUS,FRA,2010,1131483904.0,4632241152.0,5763725312.0,0.26523283,0.019428296,0.3694264,0.030607194,1.0,0,0.18332878,0.61656201,0.0,0.3
AUS,FRA,2011,1234041472.0,5452865024.0,6686906368.0,0.30111384,0.019840632,0.37372857,0.030896971,1.0,0,0.18332878,0.62705731,0.0,0.3
AUS,FRA,2012,1097763968.0,3909266176.0,5007030272.0,0.22476423,0.019945135,0.37668034,0.030816317,1.0,0,0.18332878,0.63252074,0.0,0.3
AUS,FRA,2013,1191755520.0,3698981632.0,4890737152.0,0.21828604,0.018978344,0.37870708,0.029165648,1.0,0,0.18332878,0.63897395,0.0,0.3
AUS,FRA,2014,974861632.0,3426849280.0,4401711104.0,0.19459867,0.016911622,0.37934789,0.025945634,1.0,0,0.18332878,0.64534611,0.0,0.3
AUS,FRA,2015,812765760.0,2604722688.0,3417488384.0,0.14942329,0.01556596,0.38099116,0.023778131,1.0,0,0.18332878,0.65362477,0.0,0.3
AUS,FRA,2016,1279673856.0,2405661952.0,3685335808.0,0.15938839,0.014685373,0.38322854,0.022302004,1.0,0,0.18332878,0.66208136,0.0,0.3
AUS,FRA,2017,918028928.0,2739024896.0,3657053952.0,0.15462245,0.014051747,0.38464439,0.021261193,1.0,0,0.18332878,0.66703087,0.0,0.3
AUS,FRA,2018,1078367616.0,2845397760.0,3923765248.0,0.16286135,0.014321259,0.3849991,0.021649018,1.0,0,0.18332878,0.6633271,0.0,0.3
AUS,FRA,2019,954193600.0,2675876608.0,3630070016.0,0.14794479,0.013893171,0.38235146,0.02114732,1.0,0,0.18332878,0.65161139,0.0,0.3
AUS,FRA,2020,1127456512.0,2742439168.0,3869895680.0,0.17116386,0.014374278,0.37819239,0.022120249,1.0,0,0.18332878,0.63287306,0.0,0.3
AUS,FRA,2021,1174938368.0,2957991936.0,4132930304.0,0.16898911,0.014394496,0.37176797,0.022534151,1.0,0,0.18332878,0.6096248,0.0,0.3
AUS,FRA,2022,1668001536.0,2714350592.0,4382351872.0,0.17471135,0.014757098,0.36397043,0.023596717,1.0,0,0.18332878,0.58166736,0.0,0.3
AUS,FRA,2023,1221217536.0,2932251648.0,4108107264.0,0.16447763,0.014104716,0.35307696,0.023249397,1.0,0,0.18332878,0.54840827,0.0,0.3
AUS,DEU,1999,1099649280.0,4726706176.0,5826355712.0,0.22552568,0.018287344,0.37209558,0.028603083,1.0,0,0.0,0.6289326,0.0,0.3
AUS,DEU,2000,994143168.0,4076179456.0,5070322688.0,0.19070667,0.017462227,0.37706047,0.026952891,1.0,0,0.0,0.64472079,0.0,0.3
AUS,DEU,2001,960589952.0,4130300416.0,5090890752.0,0.18831369,0.016513884,0.37882236,0.025370579,1.0,0,0.0,0.65190274,0.0,0.3
AUS,DEU,2002,1100342144.0,4691479040.0,5791820800.0,0.21466646,0.016636312,0.38600263,0.025083235,1.0,0,0.0,0.67318976,0.0,0.3
AUS,DEU,2003,1015561408.0,5814780928.0,6830342656.0,0.25494236,0.018264541,0.39821532,0.026693622,1.0,0,0.0,0.70598805,0.0,0.3
AUS,DEU,2004,1172422656.0,6897695744.0,8070118400.0,0.29771909,0.020367341,0.40782088,0.029065754,1.0,0,0.0,0.7273981,0.0,0.3
AUS,DEU,2005,1214547456.0,7123979776.0,8338527232.0,0.30538687,0.021848729,0.41444027,0.030681809,1.0,0,0.0,0.74233168,0.0,0.3
AUS,DEU,2006,1194023424.0,7623862272.0,8817886208.0,0.31107047,0.022664005,0.41882107,0.031493787,1.0,0,0.0,0.75289315,0.0,0.3
AUS,DEU,2007,1281141504.0,8579831296.0,9860972544.0,0.33781317,0.023006409,0.41936329,0.031928252,1.0,0,0.0,0.75292885,0.0,0.3
AUS,DEU,2008,1756061184.0,10045863936.0,11801925632.0,0.40046063,0.024185184,0.41761786,0.033704437,1.0,0,0.0,0.7440182,0.0,0.3
AUS,DEU,2009,1316661120.0,9225886720.0,10542546944.0,0.3793259,0.025357166,0.41266,0.035762269,1.0,0,0.0,0.72634548,0.0,0.3
AUS,DEU,2010,1779057280.0,10671319040.0,12450376704.0,0.42999786,0.026988648,0.40817678,0.038481284,1.0,0,0.0,0.70787776,0.0,0.3
AUS,DEU,2011,2388944384.0,11588124672.0,13977068544.0,0.46449268,0.027887454,0.40309194,0.040264424,1.0,0,0.0,0.68622535,0.0,0.3
AUS,DEU,2012,2015054592.0,11741658112.0,13756712960.0,0.45526451,0.028601527,0.39709297,0.041919272,1.0,0,0.0,0.66018039,0.0,0.3
AUS,DEU,2013,1805652864.0,11062920192.0,12868573184.0,0.42401719,0.027742755,0.38748419,0.041668925,1.0,0,0.0,0.62666774,0.0,0.3
AUS,DEU,2014,1449020928.0,9936719872.0,11385740288.0,0.36704764,0.025401169,0.37460786,0.039463315,1.0,0,0.0,0.58687228,0.0,0.3
AUS,DEU,2015,1336834944.0,8974290944.0,10311126016.0,0.32751811,0.022619778,0.36014137,0.036553759,1.0,0,0.0,0.54245174,0.0,0.3
AUS,DEU,2016,3035737088.0,9440829440.0,12476566528.0,0.38765597,0.021808218,0.3490127,0.036366012,1.0,0,0.0,0.50452709,0.0,0.3
AUS,DEU,2017,1665910144.0,9989939200.0,11655848960.0,0.35270223,0.02144072,0.3419719,0.036489312,1.0,0,0.0,0.47934535,0.0,0.3
AUS,DEU,2018,1808826752.0,10731890688.0,12540717056.0,0.37540177,0.022092123,0.34209755,0.037584104,1.0,0,0.0,0.47395888,0.0,0.3
AUS,DEU,2019,1835458816.0,9203192832.0,11038651392.0,0.32698616,0.021172594,0.34482694,0.035734657,1.0,0,0.0,0.48089585,0.0,0.3
AUS,DEU,2020,2256594944.0,8466757120.0,10723352576.0,0.33285651,0.021241842,0.34976423,0.03534545,1.0,0,0.0,0.49316126,0.0,0.3
AUS,DEU,2021,2219248384.0,9772646400.0,11991894016.0,0.35555226,0.021163931,0.35428584,0.034766365,1.0,0,0.0,0.50618631,0.0,0.3
AUS,DEU,2022,2786879232.0,9552482304.0,12339361792.0,0.3594386,0.021919491,0.35902199,0.03553253,1.0,0,0.0,0.51926786,0.0,0.3
AUS,DEU,2023,1723195008.0,9435426816.0,11036637184.0,0.32410136,0.021773964,0.35983658,0.035216723,1.0,0,0.0,0.52388656,0.0,0.3
AUS,HKG,1999,2585825280.0,3113563904.0,5699388928.0,3.6455762,0.031575553,0.12684967,0.14486997,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2000,2594259712.0,3336531712.0,5930791424.0,3.5235534,0.030064352,0.12603855,0.13882419,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2001,2720195072.0,2853043968.0,5573239296.0,3.2926748,0.028892428,0.12569007,0.13378264,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2002,2390585344.0,3012416512.0,5403001856.0,3.1400702,0.02801409,0.12545304,0.1299607,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2003,2261403136.0,3332985856.0,5594388992.0,3.1548851,0.027284672,0.12513195,0.12690164,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2004,2365022208.0,3802252288.0,6167274496.0,3.1995766,0.026896488,0.12547024,0.12475891,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2005,2355262720.0,3973051904.0,6328314368.0,3.05726,0.026654191,0.12611817,0.12299985,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2006,2617938944.0,4148586240.0,6766524928.0,3.0541737,0.026501773,0.12688453,0.12155783,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2007,2554134016.0,4802072576.0,7356206592.0,3.1187179,0.026450217,0.12757975,0.12066025,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2008,2665492480.0,5218978816.0,7884471296.0,3.273031,0.026932623,0.12839592,0.1220799,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2009,2387223296.0,4926486528.0,7313709568.0,3.1126416,0.027190214,0.12857439,0.12307642,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2010,3018490880.0,5050198528.0,8068689408.0,3.2162879,0.027340876,0.12887901,0.12346588,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2011,3147724032.0,5342665728.0,8490390016.0,3.2289174,0.027192831,0.12927341,0.1224227,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2012,2646982912.0,4970224128.0,7617207296.0,2.8484139,0.026486913,0.12956889,0.1189727,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2013,2438375168.0,4652502016.0,7090876928.0,2.5718257,0.025105331,0.12907633,0.1131973,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2014,2413576448.0,4219673344.0,6633249792.0,2.3411796,0.023278182,0.12796609,0.10586951,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2015,2282863872.0,4500324352.0,6783187968.0,2.3382604,0.022285176,0.12746784,0.10174947,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2016,4192646144.0,4226594304.0,8419240448.0,2.8404429,0.023293423,0.12866919,0.10535993,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2017,8464837632.0,4234409216.0,12699246592.0,4.1277184,0.027289819,0.13211747,0.12021458,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2018,7061842944.0,4160560384.0,11222403072.0,3.5467196,0.029939853,0.13485652,0.1292095,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2019,4669017088.0,3663470080.0,8332486656.0,2.6783392,0.029876936,0.13547257,0.12835164,0.0,0,0.0,0.0,0.0,0.3
AUS,HKG,2020,4056537088.0,3835492608.0,7892029440.0,2.7130136,0.029539766,0.14533558,0.11829104,0.0,4,0.0,0.0,0.0,0.3
AUS,HKG,2021,5632490496.0,3924596224.0,9557087232.0,3.0516288,0.030701764,0.15660152,0.11409959,0.0,4,0.0,0.0,0.0,0.3
AUS,HKG,2022,4003228928.0,3319936512.0,7323165696.0,2.4225457,0.032173913,0.16736194,0.11188295,0.0,4,0.0,0.0,0.0,0.3
AUS,HKG,2023,4855284224.0,2625764352.0,7399352320.0,2.3984389,0.031588469,0.16700898,0.11007925,0.0,4,0.0,0.0,0.0,0.3
AUS,IND,1999,1340315904.0,539088768.0,1879404672.0,0.2599957,0.02400662,0.15920928,0.087756515,1.0,0,0.0,0.0,0.0,0.3
AUS,IND,2000,1381716608.0,530877472.0,1912594048.0,0.25480026,0.022435915,0.15901172,0.082116678,1.0,0,0.0,0.0,0.0,0.3
AUS,IND,2001,1578174336.0,496631456.0,2074805760.0,0.26368999,0.021040797,0.15870343,0.077160068,1.0,0,0.0,0.0,0.0,0.3
AUS,IND,2002,1692261504.0,603297216.0,2295558656.0,0.28105462,0.025845703,0.19220249,0.078261122,1.0,0,0.0,0.10365259,0.01041778,0.3
AUS,IND,2003,2676985856.0,688400448.0,3365386496.0,0.38201037,0.032062672,0.22634223,0.08244244,1.0,0,0.0,0.2037475,0.017678732,0.3
AUS,IND,2004,4753521152.0,787001600.0,5540522496.0,0.58274454,0.043992192,0.26138642,0.097951092,1.0,0,0.0,0.29989249,0.023313526,0.3
AUS,IND,2005,6056219648.0,915438592.0,6971658240.0,0.67943609,0.049740583,0.26559153,0.1089967,1.0,0,0.18332878,0.29588974,0.019050965,0.3
AUS,IND,2006,7547537920.0,1006780800.0,8554318848.0,0.77148968,0.053365119,0.27415267,0.11328743,1.0,0,0.18332878,0.30970609,0.019859327,0.3
AUS,IND,2007,8396332544.0,1181233920.0,9577566208.0,0.80230457,0.053621069,0.28823599,0.10826896,1.0,0,0.18332878,0.34764749,0.027005682,0.3
AUS,IND,2008,11739591680.0,1509556864.0,13249147904.0,1.0766436,0.057765055,0.30518711,0.11015793,1.0,0,0.18332878,0.39362979,0.03845429,0.3
AUS,IND,2009,12119910400.0,1381089536.0,13500999680.0,1.0171363,0.066304997,0.31948018,0.12078669,1.0,0,0.18332878,0.43302751,0.050066598,0.3
AUS,IND,2010,15480244224.0,1702420992.0,17182664704.0,1.1931208,0.073910534,0.33013576,0.13029583,1.0,0,0.18332878,0.45767123,0.057720758,0.3
AUS,IND,2011,15776183296.0,2087964160.0,17864146944.0,1.1786648,0.078938931,0.33760929,0.13607977,1.0,0,0.18332878,0.4746705,0.061264724,0.3
AUS,IND,2012,12435140608.0,2612069888.0,15047209984.0,0.94143504,0.079595268,0.34004724,0.13622747,1.0,0,0.18332878,0.47828037,0.057326794,0.3
AUS,IND,2013,8958808064.0,2143278208.0,11102086144.0,0.65291381,0.071398869,0.33628947,0.12356481,1.0,0,0.18332878,0.4708094,0.048664663,0.3
AUS,IND,2014,7583822848.0,2532966656.0,10116789248.0,0.55392188,0.059773676,0.3281987,0.10599609,1.0,0,0.18332878,0.45271388,0.037699427,0.3
AUS,IND,2015,7556413440.0,3014220800.0,10570634240.0,0.53591609,0.048897944,0.32049111,0.08879558,1.0,0,0.18332878,0.43204924,0.029484682,0.3
AUS,IND,2016,6502199808.0,2745024768.0,9247224832.0,0.43306565,0.042789374,0.31214121,0.079781383,1.0,0,0.18332878,0.40625709,0.023337714,0.3
AUS,IND,2017,10460089344.0,3576637952.0,14036726784.0,0.61553901,0.041641109,0.30402201,0.079713881,1.0,0,0.18332878,0.37331808,0.017558364,0.3
AUS,IND,2018,10534562816.0,3364919808.0,13899483136.0,0.57256985,0.040165614,0.29346016,0.079656646,1.0,0,0.18332878,0.331646,0.012429556,0.3
AUS,IND,2019,8602095616.0,2600839936.0,11202935808.0,0.44485977,0.037469089,0.27956644,0.078001842,1.0,0,0.18332878,0.27897087,0.0079952469,0.3
AUS,IND,2020,6493602816.0,3015064320.0,9508667392.0,0.40424702,0.031475525,0.25879464,0.070783891,1.0,0,0.18332878,0.21093762,0.0044892053,0.3
AUS,IND,2021,11735402496.0,5727374336.0,17462775808.0,0.66645408,0.030045725,0.23388179,0.074765801,1.0,0,0.18332878,0.12429972,0.0018381682,0.3
AUS,IND,2022,15335605248.0,6364013568.0,21699618816.0,0.77395147,0.032732528,0.22838014,0.083413802,1.0,4,0.18332878,0.059452072,0.0004713549,0.3
AUS,IND,2023,12080331776.0,5782645248.0,17533532160.0,0.58304232,0.035340529,0.23060055,0.089192726,1.0,4,0.18332878,0.02383274,0.0,0.3
AUS,IDN,1999,1674255232.0,2004495360.0,3678750464.0,1.0420892,0.087923318,0.25815815,0.19821428,1.0,0,0.036665756,0.28518626,0.101114,0.3
AUS,IDN,2000,2161193728.0,1990369280.0,4151563008.0,1.1208776,0.080217816,0.25310123,0.18445623,1.0,0,0.0,0.27181682,0.096623331,0.3
AUS,IDN,2001,2112870144.0,2343007744.0,4455877632.0,1.1607454,0.077434197,0.24928671,0.18078001,1.0,0,0.0,0.25698221,0.092389457,0.3
AUS,IDN,2002,2119874560.0,2405451264.0,4525325824.0,1.1280791,0.078314476,0.24496956,0.18605727,1.0,0,0.0,0.24026008,0.089286909,0.3
AUS,IDN,2003,2273354240.0,2185755392.0,4459109376.0,1.0608611,0.08080329,0.24885109,0.18897581,1.0,0,0.0,0.25107136,0.1016631,0.3
AUS,IDN,2004,2828919296.0,2245957632.0,5074876928.0,1.149527,0.095248915,0.25289589,0.2191972,1.0,0,0.0,0.26100448,0.11168566,0.3
AUS,IDN,2005,3170687488.0,2561749504.0,5732436992.0,1.2285359,0.098778382,0.25956711,0.22147718,1.0,0,0.18332878,0.27766111,0.12055271,0.3
AUS,IDN,2006,3726874368.0,3103830272.0,6830704640.0,1.3875803,0.10382927,0.25709513,0.2350405,1.0,0,0.18332878,0.26403192,0.11394319,0.3
AUS,IDN,2007,3536909824.0,3666121984.0,7203031552.0,1.3759117,0.1015332,0.25223079,0.2342754,1.0,0,0.18332878,0.24472733,0.09332148,0.3
AUS,IDN,2008,3764362496.0,4275408384.0,8039770624.0,1.448627,0.10048665,0.24516122,0.23854665,1.0,0,0.18332878,0.21916001,0.068287998,0.3
AUS,IDN,2009,3463876608.0,3427436032.0,6891312640.0,1.1867613,0.10341926,0.26044804,0.23109847,1.0,8,0.18332878,0.19605251,0.040264219,0.3
AUS,IDN,2010,4240263680.0,4371728896.0,8611992576.0,1.3961868,0.1080751,0.27816889,0.22611731,1.0,8,0.18332878,0.1768996,0.030344557,0.3
AUS,IDN,2011,5586735616.0,5582530048.0,11169265664.0,1.7055465,0.11656805,0.29583743,0.22932063,1.0,8,0.18332878,0.15344892,0.021309609,0.3
AUS,IDN,2012,4845490176.0,4807304704.0,9652795392.0,1.3901531,0.11635593,0.28859967,0.234644,1.0,8,0.18332878,0.12306369,0.014346839,0.3
AUS,IDN,2013,4292514304.0,4239367936.0,8531881984.0,1.1640365,0.12855738,0.30856931,0.24247168,1.0,8,0.18332878,0.18476897,0.041959085,0.3
AUS,IDN,2014,4329342464.0,4781523456.0,9110865920.0,1.1837618,0.14216135,0.33761007,0.24506591,1.0,8,0.18332878,0.27921149,0.076948188,0.3
AUS,IDN,2015,3536248576.0,3530931968.0,7067180544.0,0.87553507,0.15980963,0.37779292,0.2461874,1.0,8,0.18332878,0.41023234,0.13084172,0.3
AUS,IDN,2016,3809184768.0,3016382976.0,6825567744.0,0.80508137,0.1632117,0.39260742,0.24194102,0.875,8,0.18332878,0.46357846,0.16676238,0.3
AUS,IDN,2017,4742491136.0,2308450560.0,7050941440.0,0.79153532,0.16138105,0.40430349,0.23230672,1.0,8,0.18332878,0.50294316,0.19376184,0.3
AUS,IDN,2018,4250910720.0,2514503936.0,6765414912.0,0.72211772,0.15280081,0.40864116,0.21762073,1.0,8,0.18332878,0.51433986,0.19957143,0.3
AUS,IDN,2019,3641219072.0,2044593280.0,5685812224.0,0.57787949,0.14600542,0.41038918,0.20705695,1.0,8,0.18332878,0.51365101,0.19662949,0.3
AUS,IDN,2020,3144782848.0,2180529920.0,5325313024.0,0.55265301,0.13356975,0.40608421,0.19142945,1.0,8,0.18332878,0.49767756,0.18751863,0.3
AUS,IDN,2021,6149245440.0,2675064576.0,8824309760.0,0.87268573,0.13963549,0.41382208,0.19638072,1.0,12,0.18332878,0.47885445,0.17721391,0.3
AUS,IDN,2022,6632420352.0,2372480512.0,9004900352.0,0.84564871,0.1413423,0.4204734,0.19563672,1.0,12,0.18332878,0.45590186,0.16541117,0.3
AUS,IDN,2023,5762823680.0,2345352704.0,7802802688.0,0.70407206,0.14497507,0.4243519,0.1988309,1.0,12,0.18332878,0.4287543,0.15022677,0.3
AUS,JPN,1999,14552035328.0,11402315776.0,25954351104.0,0.71349555,0.030289805,0.19658138,0.089674883,1.0,0,0.0,0.0,0.0,0.3
AUS,JPN,2000,16462648320.0,11240237056.0,27702886400.0,0.74107438,0.029977417,0.19724847,0.088449888,1.0,0,0.0,0.0,0.0,0.3
AUS,JPN,2001,15508635648.0,9769500672.0,25278136320.0,0.67361003,0.029571818,0.19743006,0.087172903,1.0,0,0.0,0.0,0.0,0.3
AUS,JPN,2002,15063654400.0,10397649920.0,25461305344.0,0.67820644,0.029434247,0.19727445,0.086835802,1.0,0,0.0,0.0,0.0,0.3
AUS,JPN,2003,15664378880.0,12159033344.0,27823413248.0,0.7299208,0.02959992,0.19728445,0.087320134,1.0,0,0.0,0.0,0.0,0.3
AUS,JPN,2004,19153334272.0,14063263744.0,33216595968.0,0.85276383,0.030713422,0.19874962,0.089937046,1.0,0,0.0,0.0,0.0,0.3
AUS,JPN,2005,24500908032.0,14389499904.0,38890409984.0,0.98073447,0.033192728,0.20349286,0.094931535,1.0,0,0.18332878,0.0079442468,0.0,0.3
AUS,JPN,2006,26728388608.0,14088680448.0,40817070080.0,1.0153856,0.035477299,0.20765044,0.099433884,1.0,0,0.18332878,0.015888494,0.0,0.3
AUS,JPN,2007,28811253760.0,15361111040.0,44172365824.0,1.0827854,0.037493221,0.21152788,0.10315775,1.0,0,0.18332878,0.02383274,0.0,0.3
AUS,JPN,2008,42878230528.0,17982494720.0,60860727296.0,1.5103554,0.04083994,0.21350858,0.11132341,1.0,0,0.18332878,0.02383274,0.0,0.3
AUS,JPN,2009,30948612096.0,12795459584.0,43744071680.0,1.1511123,0.042273592,0.21403843,0.11494606,1.0,0,0.18332878,0.02383274,0.0,0.3
AUS,JPN,2010,41276964864.0,16344943616.0,57621909504.0,1.4566132,0.044742838,0.21551874,0.12082455,1.0,0,0.18332878,0.02383274,0.0,0.3
AUS,JPN,2011,52103397376.0,17879793664.0,69983191040.0,1.7686725,0.046342518,0.21710202,0.12423172,1.0,0,0.18332878,0.02383274,0.0,0.3
AUS,JPN,2012,48801034240.0,18050211840.0,66851246080.0,1.6666051,0.049043156,0.22005761,0.12970561,1.0,0,0.18332878,0.02383274,0.0,0.3
AUS,JPN,2013,44148178944.0,16444738560.0,60592918528.0,1.4808936,0.049511161,0.22109354,0.13032982,1.0,0,0.18332878,0.02383274,0.0,0.3
AUS,JPN,2014,41064423424.0,13502010368.0,54566432768.0,1.3296661,0.051898472,0.2397797,0.12596761,1.0,4,0.18332878,0.048689924,0.0021100955,0.3
AUS,JPN,2015,28477491200.0,12201726976.0,40679219200.0,0.97603309,0.052068919,0.25697765,0.11792339,1.0,4,0.18332878,0.071707658,0.0040656496,0.3
AUS,JPN,2016,22538315776.0,13319058432.0,35857375232.0,0.85390311,0.051229011,0.27353349,0.10899892,1.0,4,0.18332878,0.092786469,0.0058560804,0.3
AUS,JPN,2017,30835240960.0,14733072384.0,45568315392.0,1.0672776,0.049183942,0.27161929,0.10538516,1.0,4,0.18332878,0.086958326,0.0053319894,0.3
